ac|en|fi|pt|ru|zh|ja|ko|de
amulets_lost_dieties_authority|Lost Dieties Authority|Pharaoh' kaulakoru|Colar do faraó|Pharaoh' Necklace|"法老 ""项链"|ファラオ」ネックレス|Pharaoh' Necklace|Pharao' Halskette
amulets_thunderstone_amulet|Thunderstone Amulet|Ukkoskiven amuletti|Amuleto Thunderstone|Thunderstone Amulet|雷石护身符|サンダーストーン アミュレット|Thunderstone Amulet|Donnerstein Amulett
amulets_earth_goliaths_protection|Earth Goliath's Protection|Earth Goliath's Protection|Earth Goliath's Protection|Earth Goliath's Protection|Earth Goliath's Protection|Earth Goliath's Protection|Earth Goliath's Protection|Earth Goliath's Protection
amulets_claw_of_bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty|Claw of the Bloodthirsty
amulets_arcana_eye|Arcana Eye|Arcana Eye|Arcana Eye|Arcana Eye|Arcana Eye|Arcana Eye|Arcana Eye|Arcana Eye
amulets_scouts_medal_of_honor|Scout’s Medal of Honor|Scout’s Medal of Honor|Scout’s Medal of Honor|Scout’s Medal of Honor|Scout’s Medal of Honor|Scout’s Medal of Honor|Scout’s Medal of Honor|Scout’s Medal of Honor
amulets_claw_of_hunter|Claw of the Hunter|Claw of the Hunter|Claw of the Hunter|Claw of the Hunter|Claw of the Hunter|Claw of the Hunter|Claw of the Hunter|Claw of the Hunter
amulets_amethyst_knights_amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet|Amethyst Knight’s Amulet
amulets_chronomancers_curio_of_time|Chronomancer's Curio of Time|Chronomancer's Curio of Time|Chronomancer's Curio of Time|Chronomancer's Curio of Time|Chronomancer's Curio of Time|Chronomancer's Curio of Time|Chronomancer's Curio of Time|Chronomancer's Curio of Time
amulets_ymirs_frozen_tear|Ymir's Frozen Tear|||||||
amulets_insignia_of_hunter|Insignia of the Hunter|Insignia of the Hunter|Insignia of the Hunter|Insignia of the Hunter|Insignia of the Hunter|Insignia of the Hunter|Insignia of the Hunter|Insignia of the Hunter
||||||||
[charms]||||||||
charms_normal_small_charm|Small Charm|||||||
charms_normal_large_charm|Large Charm|||||||
charms_normal_grand_charm|Grand Charm|||||||
||||||||
||||||||
[charms_unique]||||||||
charms_raiders_torch|Raider's Torch|Raiderin soihtu|Tocha de Raider|Факел рейдера|突袭者的火炬|レイダーのトーチ|침입자의 횃불|Raider's Torch
charms_eye_of_skadi|Eye of Skadi|Skadin silmä|Olho de Skadi|Глаз Скади|斯卡迪之眼|スカジの目|스카디의 눈|Auge von Skadi
charms_apple_of_evolution|Apple of Evolution|Evoluutio-Omena|Maçã da Evolução|Яблоко Эволюции|进化的苹果|進化のリンゴ|진화의 사과|Apfel der Evolution
charms_moonshard|Moonshard|Kuunsirpale|Fragmento da Lua|Осколок Луны|银月之晶|ムーンシャード|문샤드|Mondsplitter
charms_solar_charm|Solar Charm|Auringon taikakalu|Talismã Solar|Солнечный Оберег|太阳之符|太陽のお守り|해의 부적|Sonnenamulett
charms_aztec_coin|Aztec Coin|Azteekkikolikko|Moeda Asteca|Ацтекская Монета|阿兹特克硬币|アステカのコイン|아즈테크 동전|Aztekische Münze
charms_beetle_of_life|Beetle of Life|Elämän torakka|Besouro da Vida|Жук Жизни|生命甲壳虫|生命の甲虫|삶의 딱정벌레|Käfer des Lichts
charms_tals_deathskull|Tal's Deathskull|Talin kuolonkallo|Caveira da Morte de Tal|Череп Тала|塔尔的死亡骷髅|タルのデススカル|탈의 죽음의 해골|Tals Todesschädel
charms_gurags_heart_charm|Gurag's Heart Charm|Guragin sydän taikakalu|Amuleto do Coração de Gurag|Амулет сердца Гурага|古拉格的心咒|グラグのハートチャーム|구라 그의 심장 부적|Gurags Herzzauber
charms_anubis_ankh_charm|Anubis' Ankh Charm|Anubisin ankhi taikakalu|Encanto ankh de Anúbis|Анкх амулет анубиса|阿努比斯的安赫魅力|アヌビスのアンクチャーム|아누비스의 앙크 매력|Anubis 'Ankh-Charme
charms_damiens_cage|Damien's Cage|Damienin häkki|Jaula de Damien|Клетка Дэмиена|达米恩的笼子|デイミアンの檻|데미안의 철장|Damiens Käfig
charms_satans_chalice|Satan's Chalice|Saatanan pikari|Cálice de Satã|Чаша Сатаны|撒旦的酒杯|サタンの杯|사탄의 성배|Satans Kelch
charms_steve|Hello its me, Steve!|Hei se ois Teemu!|Olá, sou eu, Steve!|Привет, это я, Стив!|你好，史蒂夫，是我!|こんにちは。僕だよ、スティーブ！|저예요, 스티브!|Hallo ich bin's, Steve!
charms_rednecks_keychain|Redneck's Keychain|Punaniskan avainnippu|Chaveiro do Camponês|Брелок Деревенщины|红脖子的钥匙链|レッドネックのキーチェーン|레드넥의 키체인|Redneck-Schlüsselanhänger
charms_pirate_captains_flag|Pirate Captain's Flag|Merirosvokapteenin lippu|Bandeira do Capitão Pirata|Пиратский Флаг|海盗船长的旗帜|海賊船長の旗|해적 대위의 깃발|Flagge des Piratenkapitäns
charms_death_lords_zombie_head|Death Lord's Zombie Head|Kuolemanherran Zombipää|Cabeça Zumbi do Senhor da Guerra|Голова Зомби Владыки Смерти|死神的僵尸头颅|デス・ロードのゾンビ頭|죽음의 신의 좀비 머리|Zombiekopf des Todeslords
charms_marksmans_quiver|Marksman's Quiver|Jousimiehen viini|Aljava do Atirador|Колчан Стрелка|射手的箭袋|マークスマンのクワイバー|명사수의 전율|Köcher des Marksman
charms_wind_token|Wind Token|Tuulirahake|Token de Vento|Сигил Ветра|风令牌|風のトークン|바람 토큰|Wind-Token
charms_doctors_mask_in_jar|Doctor's Mask in a Jar|Tohtorin Naamio Purkissa|Máscara do Médico em um Frasco|Маска Доктора в банке|医生的面具在罐子里|壺の中のドクターズマスク|항아리에 든 의사의 가면|Doktormaske im Glas
charms_heart_of_agony|Heart of Agony|Tuskan Sydän|Coração de Agonia|Сердце Агонии|心的痛苦|苦悩の心臓|고뇌의 심장|Herz des Schmerzes
charms_aztec_devil|Aztec Devil|Atsteekkipiru|Diabo Asteca|Ацтекский Дьявол|爱捷特魔鬼|アズテックデビル|아즈텍 악마|Aztekenteufel
charms_sacred_owl|Sacred Owl|Pyhä Pöllö|Coruja Sagrada|Священная Сова|神圣的猫头鹰|聖なるフクロウ|신성한 올빼미|Heilige Eule
charms_flaming_coin|Flaming Coin|Liekehtivä Kolikko|Moeda Flamejante|Пылающая Монета|燃烧的硬币|炎のコイン|불타는 동전|Brennende Münze
charms_torch_of_shadows|Torch of Shadows|Varjosoihtu|Tocha das Sombras|Факел Теней|火炬的阴影|影のトーチ|그림자의 횃불|Fackel der Schatten
charms_travelers_map_journal|Traveler's Map Journal|Matkustajan Karttakirja|Diário do mapa do viajante|Журнал Путешественника|旅行者地图杂志|トラベラーズマップジャーナル|여행자지도 일지|Reisejournal
charms_engineers_mini_drone|Engineer's Mini Drone|Insinöörin Minilennokki|mini drone do engenheiro|Мини-дрон инженера|引擎的迷你无人机|エンジンのミニドローン|enginee의 미니 드론|Enginees Mini-Drohne
charms_zealots_beads_of_destruction|Zealot's Beads of Destruction|Kiihkoilijan Tuhon Rukousnauha|Contas de Destruição do Fanático|Чётки Разрушения Фанатика|狂热者的毁灭珠|ジーロットの破壊のビーズ|질럿의 파괴의 구슬|Zelotenperlen der Zerstörung
charms_bone_conjurers_trophy|Bone Conjurer's Trophy|Luuvelhon Voitonmerkki|Troféu de mágico de ossos|Трофей Заклинателя Костей|骨魔术师的奖杯|ボーンコンジュラーのトロフィー|뼈 마법사의 트로피|Knochenbeschwörer-Trophäe
charms_champions_signet|Champion's Signet|Sotamestarin Sinetti|Signet do Campeão|Печатка Чемпиона|冠军的徽记|チャンピオンのシグネット|챔피언의 인장|Siegel des Champions
charms_plunderers_gunpowder_bag|Plunderer's Gunpowder Bag|Laivojenupottajan Ruutipussi|Saco de pólvora de saqueador|Мешочек Пороха Расхитительницы|掠夺者的火药袋|プランダラの火薬バッグ|약탈자의 화약 가방|Schießpulverbeutel des Plünderers
charms_fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite
charms_loaded_dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice
charms_annihilus|Annihilator|||||||
charms_bag_of_unknown_riches|Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches 
charms_spine_trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy
charms_angelic_key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key
charms_cold_giants_charm|Cold Giant's Charm|Kylmän jättiläisen viehätysvoima|O Encanto do Gigante Frio|Cold Giant's Charm|寒冷巨人的魅力|冷たい巨人の魅力|Cold Giant's Charm|Der Charme des kalten Riesen
charms_jacks_pumpkin_spice|Jack's Pumpkin Spice|Jackin kurpitsamauste|Tempero de Abóbora de Jack|Jack's Pumpkin Spice|杰克的南瓜香精|ジャックのパンプキンスパイス|Jack's Pumpkin Spice|Jacks Kürbisgewürz
charms_shrunken_head|Shrunken Head|Kutistunut pää|Cabeça encolhida|Shrunken Head|缩头乌龟|シュランケンヘッド|Shrunken Head|Schrumpfkopf
charms_tarethiels_ancient_wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom
charms_sheep_kings_wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool
charms_vikings_glyphed_rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune|Viking’s Glyphed Rune
charms_witches_claw|Witches Claw|Witches Claw|Witches Claw|Witches Claw|Witches Claw|Witches Claw|Witches Claw|Witches Claw
charms_adventurers_quiver|Adventurer’s Quiver|Adventurer’s Quiver|Adventurer’s Quiver|Adventurer’s Quiver|Adventurer’s Quiver|Adventurer’s Quiver|Adventurer’s Quiver|Adventurer’s Quiver
charms_mark_of_black_knight|Mark of the Black Knight|Mark of the Black Knight|Mark of the Black Knight|Mark of the Black Knight|Mark of the Black Knight|Mark of the Black Knight|Mark of the Black Knight|Mark of the Black Knight
charms_hardened_steel_defender|Hardened Steel Defender|Hardened Steel Defender|Hardened Steel Defender|Hardened Steel Defender|Hardened Steel Defender|Hardened Steel Defender|Hardened Steel Defender|Hardened Steel Defender
charms_canopic_jar_of_blood|Canopic Jar of Blood|Canopic Jar of Blood|Canopic Jar of Blood|Canopic Jar of Blood|Canopic Jar of Blood|Canopic Jar of Blood|Canopic Jar of Blood|Canopic Jar of Blood
charms_sundial_of_ancient_worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds|Sundial of Ancient Worlds
||||||||
||||||||
[shields]||||||||
shields_normal_wooden_shield|Wooden Shield|||||||
shields_normal_buckler|Buckler|Buckler|Buckler|Buckler|龅牙虫|バックラー|Buckler|Buckler
shields_normal_steel_ward|Steel Ward|Teräsosasto|Ala de Aço|Steel Ward|钢结构病房|スティールワード|Steel Ward|Stahlstation
shields_normal_small_crescent|Small Crescent|||||||
shields_normal_aegis|Aegis|||||||
shields_normal_kite_shield|Kite Shield|||||||
shields_normal_bone_shield|Bone Shield|Luukilpi|Escudo ósseo|Bone Shield|骨骼盾牌|ボーンシールド|Bone Shield|Knochenschild
shields_normal_luna|Luna|||||||
shields_normal_royal_shield|Royal Shield|||||||
shields_normal_monarch|Monarch|Monarch|Monarca|Monarch|君主|モナーク|Monarch|Monarch
shields_normal_tribal_ward|Tribal Ward|||||||
||||||||
[shields_unique]||||||||
shields_ancient_aegis|Ancient Aegis|Muinainen Suoja|Égide Antiga|Эгида Древних|古代羊皮盾|古代のアイギス|고대 이지스 방패|Uralte Ägis
shields_tombstone|Tombstone|Hautakivi|Lápide|Надгробие|墓碑|墓石|묘비|Grabstein
shields_rift_eye|Rift Eye|Repeämäsilmä|Olho de Fenda|Око Разлома|裂眼|裂けた目|부서진 눈|Rissauge
shields_demons_mirror|Demon's Mirror|Demonin Peili|Espelho do Demônio|Зеркало Демона|恶魔之镜|デーモンの鑑|악마의 거울|Dämonenspiegel
shields_the_templar|The Templar|Temppeliherra|O Templário|Тамплиер|圣殿骑士|テンプル騎士団|템플러|Der Templer
shields_lancers_wall|Lancer's Wall|Kilpiseivästäjän Seinä|Parede do Lanceiro|Стена Копейщика|骑士之盾|ランサーの壁|렌서의 벽|Lanzenträgerwall
shields_shadow_buckler|Shadow Buckler|Varjokilpi|Broquel das Sombras|Щит Теней|阴影圆盾|影の円盾|그림자 방패|Schattenfaustschild
shields_wall_of_legion|Wall of the Legion|Odinin Taistelukilpi|Escudo de Batalha de Odin|Щит Одина|奥丁的战斗盾牌|オーディンのバトル・シールド|오딘의 전투 방패|Odins Kampfschild
shields_suomi_finland_perkele|SUOMI FINLAND PERKELE|SUOMI FINLAND PERKELE|SUOMI FINLAND PERKELE|ФИНСКИЙ ПЕРКЕЛЕ|苏米·芬尼·佩尔凯莱|スオミ・フィンランド・ペルケレ|핀란드 악마 수오미|SUOMI FINNLAND PERKELE
shields_den_glider_in|Den Glider In|Den Glider In|Den Glider In|Den Glider In|登·格莱德·音|デン・グリデル・イン|던전 입장|Den Glider In
shields_gladiators_wall|Gladiator's Wall|Gladiaattorin Seinä|Muralha do Gladiador|Щит Гладиатора|角斗士的墙|グラディエーターの壁|글라디에이터의 벽|Gladiatorenwand
shields_sacred_aegis|Sacred Aegis|Pyhäsuoja|Égide Sagrada|Священная Эгида|神圣的庇护|聖なるイージス|신성한 방패|Heiliger Aegis
shields_aztec_ward|Aztec Ward|Atsteekkisuoja|Proteção Asteca|Ацтекский щит|爱捷特病房|アズテックウォード|아즈텍 병실|Station des Azteken
shields_ward_of_toxicity|Ward of Toxicity|Myrkyllisyyden Suoja|Proteção de Toxicidade|Щит Яда|毒性病房|毒性のウォード|독성의 병실|Station der Toxizität
shields_storm_gladiators_wall|Storm Gladiator's Wall|Myrskygladiaattorin Seinä|Muralha do Gladiador Tempestuoso|Щит Бури Гладиатора|风暴角斗士的墙|ストームグラディエーターの壁|스톰 글라디에이터의 벽|Wand des Sturmgladiators
shields_thunder_lords_aegis|Thunder Lord's Aegis|Ukkosenherran Turva|Égide do Senhor do Trovão|Эгида Повелителя Грома|雷神的庇护|サンダーロードのイージス|천둥 군주의 방패|Aegis des Donnerlords
shields_crystal_infused_shield|Crystal Infused Shield|Kristallivalettu kilpi|Escudo Infundido de Cristal|Кристаллический Щит|水晶灌注盾|クリスタル注入シールド|수정이 주입 된 방패|Kristallinfundierter Schild
shields_vagabonds_ward|Vagabond's Ward|Kiertolaisen Suoja|Enfermaria de Vagabundo|Щит Скитальца|流浪者的守卫|バガボンドの病棟|방랑자의 와드|Vagabonds Gemeinde
shields_flame_diviners_ward|Flame Diviner's Ward|Tuliennustajan Suoja|Enfermaria do Divinador da Chama|Щит Прорицателя|烈焰神谕者的守卫|炎占い師の病棟|화염 점쟁이의 와드|Flammenwahrnehmerstation
shields_justiciars_thunder_wall|Justiciar's Thunder Wall|Oikeuttajan Ukkosseinä|Parede de trovão do juiz de justiça|Барьер Молний Праведного|正义的雷霆墙|司法長官の雷壁|justiciar의 천둥 벽|Die Donnerwand des Justiziar
shields_shield_bearers_wall|Shield Bearer's Wall|Kilvenkäyttäjän Seinä|Parede do Portador do Escudo|Ростовой Щит Щитоносца|盾牌承载者之墙|シールドベアラーの壁|방패 무기명의 벽|Schildträgerwand
shields_valkyries_battle_shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Боевой Щит Валькирии|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield
shields_leprechauns_greed|Leprechauns Greed|||||||
shields_gem_encrusted_tower|Gem Encrusted Tower|Gem Encrusted Tower|Gem Encrusted Tower|Gem Encrusted Tower|Gem Encrusted Tower|Gem Encrusted Tower|Gem Encrusted Tower|Gem Encrusted Tower
shields_pandemic_shield|Pandemic Shield|||||||
shields_iron_giants_shield|Iron Giants Shield|Rautajättiläisten kilpi|Escudo de ferro Giants Shield|Iron Giants Shield|铁巨人盾牌|鉄の巨人の盾|Iron Giants Shield|Eisen-Riesen-Schild
shields_tomis_vibrant_aura|St. Tomi's Vibrant Aura|Pyhän Tomin elinvoimainen aura|Aura Vibrante de São Tomé e Príncipe|St. Tomi's Vibrant Aura|圣托米的充满活力的光环|セント・トーマスの元気なオーラ|St. Tomi's Vibrant Aura|Die vibrierende Aura von St. Tomi
shields_defenders_justice|Defender's Justice|Puolustajan oikeus|A Justiça do Defensor|Defender's Justice|捍卫者的正义|ディフェンダーズ・ジャスティス|Defender's Justice|Gerechtigkeit des Verteidigers
shields_shield_of_abyss|Shield of the Abyss|Abyssin kilpi|Escudo do Abismo|Shield of the Abyss|深渊之盾|シールド・オブ・ジ・アビス|Shield of the Abyss|Schild des Abgrunds
shields_mirror_of_flesh|Mirror of Flesh|Lihan peili|Espelho de Carne|Mirror of Flesh|肉体之镜|肉体の鏡|Mirror of Flesh|Spiegel des Fleisches
shields_hallgars_dreadful_wall|Dreadful Wall|||||||
shields_ward_of_blood|Ward of Blood|Veren osasto|Ala de Sangue|Ward of Blood|血的病房|ウォード オブ ブラッド|Ward of Blood|Station des Blutes
shields_novice_tower|Novice's Tower|Noviisin torni|Torre do noviço|Novice's Tower|新手之塔|ノービス・タワー|Novice's Tower|Novizen-Turm
shields_kings_tower_shield|King's Tower Shield|Kuninkaan tornin kilpi|Escudo da Torre do Rei|King's Tower Shield|国王之塔盾牌|キングス・タワー・シールド|King's Tower Shield|Königsturm-Schild
shields_heavens_champion|Heaven's Champion|Taivaan mestari|O campeão do céu|Heaven's Champion|天堂的冠军|ヘブンズ・チャンピオン|Heaven's Champion|Meister des Himmels
shields_pitfiends_thorn|Pitfiend's Thorn|Pitfiend's Thorn|Pitfiend's Thorn|Pitfiend's Thorn|蝮蛇之刺|ピットフィーンドのソーン|Pitfiend's Thorn|Pitfiends Dorn
shields_celestials_authority|Celestial’s Authority|Celestial’s Authority|Celestial’s Authority|Celestial’s Authority|Celestial’s Authority|Celestial’s Authority|Celestial’s Authority|Celestial’s Authority
shields_visage_of_relentless_rage|Visage of Relentless Rage|Visage of Relentless Rage|Visage of Relentless Rage|Visage of Relentless Rage|Visage of Relentless Rage|Visage of Relentless Rage|Visage of Relentless Rage|Visage of Relentless Rage
shields_battle_mages_shield|Battle Mage’s Shield|Battle Mage’s Shield|Battle Mage’s Shield|Battle Mage’s Shield|Battle Mage’s Shield|Battle Mage’s Shield|Battle Mage’s Shield|Battle Mage’s Shield
shields_darkwood_defender|Darkwood Defender|Darkwood Defender|Darkwood Defender|Darkwood Defender|Darkwood Defender|Darkwood Defender|Darkwood Defender|Darkwood Defender
shields_rusted_spike_shield|Rusted Spiked Shield|Rusted Spiked Shield|Rusted Spiked Shield|Rusted Spiked Shield|Rusted Spiked Shield|Rusted Spiked Shield|Rusted Spiked Shield|Rusted Spiked Shield
shields_blessed_defender|Blessed Defender|Blessed Defender|Blessed Defender|Blessed Defender|Blessed Defender|Blessed Defender|Blessed Defender|Blessed Defender
||||||||
[rings]||||||||
rings_normal_bronze_ring|Bronze Ring|||||||
rings_normal_iron_ring|Iron Ring|||||||
rings_normal_ring|Ring|||||||
||||||||
[rings_unique]||||||||
rings_ras_band|Ra's Band|Ran Nauha|Faixa de Ra|Кольцо Ра|Ra的乐队|ラーのバンド|라의 밴드|Ras Band
rings_molten_ring|Molten Ring|Sulanut sormus|Anel Fundido|Расплавленное Кольцо|熔化的环|モルテンリング|녹은 반지|Geschmolzener Ring
rings_dragonsteel_ring|Dragonsteel Ring|Lohikäärmeterässormus|Anel de Aço de Dragão|Кольцо из драконьей стали|龙钢环|ドラゴンスチールリング|드래곤스틸 반지|Drachenstahlring
rings_stone_of_jordan|Stone of Premonition|||||||
rings_khodos_wedding_band|Khodo's Wedding Band|Khodon Vihkisormus|Aliança de Khodo|Обручальное кольцо Ходо|Khodo的婚礼乐队|コドのウェディングバンド|코도의 결혼 반지|Ehering des Khodo
rings_demon_eye_ring|Demon Eye Ring|Pirunsilmäsormus|Anel de Olho de Demônio|Око Демона|恶魔的眼环|悪魔の目のリング|스켈레톤 반지|Dämonenaugering
rings_satanic_eye|Satanic Eye|Saatanallinen Silmä|Olho Satânico|Сатанический Глаз|邪恶的眼睛|魔王の目|스켈레톤 반지|Satanisches Auge
rings_giants_band_of_strength|Giant's Band of Strength|Jättiläisen Voimasormus|Banda de Força do Gigante|Кольцо Cилы Титана|巨人的力量带|ジャイアントの強さのバンド|거인의 힘의 고리|Riesenband der Stärke
rings_iron_ring_of_prometeus|Iron Ring of Prometheus|Prometheuksen rautarengas|Anel de Ferro da Prometheus|Iron Ring of Prometheus|普罗米修斯的铁环|プロメテウスの鉄輪|Iron Ring of Prometheus|Eiserner Ring des Prometheus
rings_devlins_eternal_grace|St. Aaron’s Eternal Rage|||||||
rings_elven_grace|Elven Grace|||||||
rings_quickening_zephyr|Quickening Zephyr|Pikavauhtia Zephyr|Zephyr de aceleração|Quickening Zephyr|快捷的紫云英|クイックニングゼファー|Quickening Zephyr|Zephir beschleunigen
rings_mana_benders_will|Mana Bender's Will|Mana Benderin tahto|A vontade de Mana Bender|Mana Bender's Will|玛娜班德的意志|マナベンダーの意志|Mana Bender's Will|Der Wille des Mana-Benders
rings_tectonic_frequency|Tectonic Frequency|Techtonic Frequency|Techtonic Frequency|Techtonic Frequency|科技频率|テクトニック周波数|Techtonic Frequency|Techtonische Frequenz
rings_fury_of_tarethiel|Fury of Tarethiel|Tarethielin raivo|Fúria de Tarethiel|Fury of Tarethiel|塔雷西尔之怒|フューリーオブタレシエル|Fury of Tarethiel|Wut von Tarethiel
rings_absence_of_constraint|The Absence of Constraint|The Absence of Constraint|The Absence of Constraint|The Absence of Constraint|The Absence of Constraint|The Absence of Constraint|The Absence of Constraint|The Absence of Constraint
rings_mark_of_ferocity|Mark of Ferocity|Mark of Ferocity|Mark of Ferocity|Mark of Ferocity|Mark of Ferocity|Mark of Ferocity|Mark of Ferocity|Mark of Ferocity
rings_sanguine_bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Sanguine Bloodstone
rings_archers_story|Archer's Story|||||||
rings_onyx_slayers_band|Onyx Slayer’s Band|Onyx Slayer’s Band|Onyx Slayer’s Band|Onyx Slayer’s Band|Onyx Slayer’s Band|Onyx Slayer’s Band|Onyx Slayer’s Band|Onyx Slayer’s Band
rings_templars_faith|Templar’s Faith|Templar’s Faith|Templar’s Faith|Templar’s Faith|Templar’s Faith|Templar’s Faith|Templar’s Faith|Templar’s Faith
rings_soulforged_ring|Soulforged Ring|Soulforged Ring|Soulforged Ring|Soulforged Ring|Soulforged Ring|Soulforged Ring|Soulforged Ring|Soulforged Ring
rings_signet_of_bifrost|Signet of Bifröst|||||||
rings_sung_lees_unleashed_rage|Sung Lee's Unleashed Rage|||||||
||||||||
[belts]||||||||
belts_normal_sash|Sash|||||||
belts_normal_leather_belt|Leather Belt|||||||
belts_normal_heavy_belt|Heavy Belt|||||||
belts_normal_devilhide_sash|Devilhide Sash|||||||
belts_normal_viperskin_belt|Viperskin Belt|||||||
belts_normal_battle_belt|Battle Belt|||||||
belts_normal_wyrmhide_sash|Wyrmhide Sash|||||||
belts_normal_mithril_coil|Mithril Coil|||||||
belts_normal_vampirefang_girdle|Vampirefang Girdle|||||||
||||||||
[belts_unique]||||||||
belts_warrior_belt|Tundra Warrior's Girdle|||||||
belts_viperskin_belt|Vipermagi's Belt|||||||
belts_lich_sash|Lich Sash|Lich-nauha|Faixa de Lich|Пояс Лича|巫妖腰带|リッチサッシュ|시체 띠|Leichengürtel
belts_tribal_belt|Tribal Belt|Heimovyö|Cinto Tribal|Племенной Ремень|部落地带|トライバルベルト|부족 벨트|Stammesgürtel
belts_foxweave_belt|Foxweave Belt|Ketunkutoma Vyö|Cinto de Raposa|Хитрый Лис|狐狸波腰带|フォックスウィーブベルト|폭스위브 벨트|Fuchsgürtel
belts_assassins_belt|Assassin's Belt|Salamurhaajan Vyö|Cinto do Assassino|Пояс Убийцы|刺客的腰带|アサシンズベルト|암살자의 벨트|Mördergürtel
belts_crystal_belt|Crystal Belt|Kristallivyö|Cinto de Cristal|Кристальный Пояс|水晶带|クリスタルベルト|크리스탈 벨트|Kristallgürtel
belts_heavy_duty|Heavy Duty|Raskas Työvyö|Trabalho Pesado|Массивный Ремень|重型|ヘビーデューティ|대형|Harte Beanspruchung
belts_commanders_sash|Commander's Sash|Komentajan Nauha|Faixa do Comandante|Командирский ремень|指挥官的腰带|司令官のサッシュ|사령관의 띠|Schärpe des Kommandanten
belts_monkeyskin_belt|Monkeyskin Belt|Apinannahkavyö|Cinto de Pele de Macaco|Ремень из обезьяньей кожи|猴子皮腰带|モンキースキンベルト|몽키스킨 벨트|Affenhautgürtel
belts_belt_of_war|Belt of War|Sotavyö|Cinto da Guerra|Ремень Войны|战争腰带|ベルト･オブ･ウォー|전쟁의 벨트|Gürtel des Krieges
belts_travelers_double_belt|Traveler's Double Belt|Matkustajan Kaksinkertainen Vyö|Cinto duplo do viajante|Двойной Пояс Путешественника|旅行者双腰带|トラベラーズダブルベルト|여행자 용 더블 벨트|Doppelgürtel des Reisenden
belts_belt_of_skulls|Belt of Skulls|Pääkallovyö|Cinto de crânios|Пояс черепов|骷髅腰带|頭蓋骨のベルト|해골 허리띠|Gürtel der Schädel
belts_engineers_toolbelt|Engineer's Toolbelt|Insinöörin Työkaluvyö|Cinto de ferramentas do engenheiro|Пояс инженера|工程师工具带|エンジニアのツールベルト|엔지니어의 도구 벨트|Werkzeuggürtel des Ingenieurs
belts_vagabonds_strap|Vagabond's Strap|Kiertolaisen Remmi|Correia de vagabundo|Ремень Скитальца|流浪者的表带|バガボンドのストラップ|방랑자의 결박|Vagabonds Riemen
belts_flame_diviners_cord|Flame Diviner's Cord|Tuliennustajan Köysi|Cordão do Divinador da Chama|Пояс Прорицателя|烈焰神谕者的绳|炎占い師のコード|화염 점쟁이의 장식 끈|Flammenwahrsagers Kabel
belts_justiciars_thunder_sash|Justiciar's Thunder Sash|Oikeuttajan Ukkosvyö|Faixa do Trovão do Justiciar|Пояс Праведного|正义法官的雷霆腰带|司法長官のサンダーサッシュ|Justiciar의 천둥 장식 띠|Justiciars Donnerschärpe
belts_earth_shapers_belt|Earth Shaper's Belt|Maanmuokkaajan Vyö|Cinto do Formador da Terra|Пояс Творца|造地者腰带|アースシェイパーのベルト|지구 형성 자의 허리띠|Gürtel des Erdformers
