[main_menu]|en|fi|pt|ru|zh|ja|ko|de
craft_random_satanic_a_tier|Craft random Tier A+ Satanic|Valmista satunnainen A+ tason Saatanallinen||||||
craft_socket_token|Craft Socket Token|Valmista paikkapoletti||||||
craft_random_relic|Craft random Relic|Valmista satunnainen Aarre|criar relíquia aleatória|Создать случайную Реликвию|工艺随机遗物|ランダムな遺物を作る|무작위 유물 제작|Zufälliges Relikt
craft_reroll_token|Craft Re-roll Token|Valmista Uusiopoletti|token de re-roll artesanal|Создать Жетон Качества|工艺重投令牌|クラフトリロールトークン|크래프트 리롤 토큰|Reroll-Token
craft_satanic_amulet|Craft Satanic Amulet|Valmista Saatanallinen Amuletti|criar amuleto satânico|Создать Сатанический Амулет|工艺撒旦护身符|クラフト悪魔のお守り|사탄 부적 제작|Satanisches Amulett
craft_satanic_armor|Craft Satanic Body Armor|Valmista Saatanallinen Panssari|fabricar armadura corporal satânica|Создать Сатанический Нагрудник|工艺撒旦防弹衣|悪魔のボディアーマーを作る|사탄 갑옷 제작|Satanischer Körperschutz
craft_satanic_boots|Craft Satanic Boots|Valmista Saatanalliset Saappaat|fazer botas satânicas|Создать Сатанические Ботинки|工艺撒旦靴|クラフト悪魔のブーツ|공예 사탄 부츠|Satanische Stiefel
craft_satanic_charm|Craft Satanic Charm|Valmista Saatanallinen Taikakalu|criar charme satânico|Создать Сатанический Оберег|工艺撒旦魅力|クラフト悪魔の魅力|사탄의 매력을 만들어라|Satanischer Charm
craft_satanic_dice|Craft Satanic Dice|Valmista Saatanallinen noppa|criar dados satânicos|Создать Дьявольские Кости|工艺撒旦骰子|悪魔のサイコロを作る|사탄 주사위 제작|Satanischer Würfel
craft_satanic_gloves|Craft Satanic Gloves|Valmista Saatanalliset Hanskat|fabricar luvas satânicas|Создать Сатанические Перчатки|工艺撒旦手套|悪魔の手袋を作る|공예 사탄 장갑|Satanische Handschuhe
craft_satanic_helmet|Craft Satanic Helmet|Valmista Saatanallinen Kypärä|fazer capacete satânico|Создать Сатанический Шлем|工艺撒旦头盔|クラフト悪魔のヘルメット|공예 사탄 헬멧|Satanischer Helm
craft_satanic_shield|Craft Satanic Shield|Valmista Saatanallinen Kilpi|criar escudo satânico|Создать Сатанический Щит|工艺撒旦盾|クラフト悪魔の盾|사탄 방패 제작|Satanisches Schild
craft_satanic_weapon|Craft Satanic Weapon|Valmista Saatanallinen Ase|fabricar arma satânica|Создать Сатаническое Оружие|工艺撒旦武器|悪魔の武器を作る|사탄 무기 제작|Satanische Waffe
craft_upgrade_token|Craft Upgrade Token|Valmista Päivityspoletti|token de atualização de fabricação|Создать Жетон Улучшения|工艺升级令牌|クラフトアップグレードトークン|공예 업그레이드 토큰|Aufrüst-Token
craft_wormhole_key|Craft Wormhole Key|Valmista Madonreiän avain|chave de buraco de minhoca artesanal|Создать Ключ Червоточины|工艺虫洞钥匙|クラフトワームホールキー|공예 웜홀 키|Wurmlochschlüssel
craft_jewel|Craft Jewel|Valmista korukivi||||||
craft_gem|Craft Gem|Valmista jalokivi||||||
aura_1|Feint|Harhautus|Enganação|Притворство|假的|フェイント|양공|Antäuschen
aura_2|Mending|Parannus|Conserto|Покаяние|修补|補修|수리|Heilung
aura_3|Fanaticism|Fanaattisuus|Fanatismo|Фанатизм|狂热|熱狂|광신|Fanatismus
aura_4|Resistance|Vastustus|Resistência|Сопротивление|电阻|抵抗|저항|Widerstand
aura_5|Concentration|Keskittyminen|Concentração|Концентрация|浓度|集中|집중|Konzentration
aura_6|Holy Freeze|Pyhä jää|Congelamento Sagrado|Леденящий Взор|神圣的冻结|ホーリーフリーズ|신성한 동결|Heiliger Frost
aura_7|Holy Shock|Pyhä isku|Choque Sagrado|Небесная Кара|神圣震击|ホーリーショック|신성한 충격|Heiliger Schock
aura_10|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool
aura_14|Precognition|Ennakkotieto||||||
aura_13|Thorns|Piikit|Espinhos|Шипы|荆棘|いばら|가시|Dornen
aura_15|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Engelskraft
aura_93|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool
||||||||
aura_desc_1|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Gestattet dir und deine Verbündeten eine Geschwindigkeitaura
aura_desc_2|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Gestattet dir und deine Verbündeten eine Lebensregenerationsaura
aura_desc_3|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Gestattet dir und deine Verbündeten eine Angriffsgeschwindigkeitsaura
aura_desc_4|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Gestattet dir und deine Verbündeten eine Widerstandsaura
aura_desc_5|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Gestattet dir und deine Verbündeten eine Angriffsstärkeaura
aura_desc_6|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Gestattet dir und deine Verbündeten eine frierende Aura
aura_desc_7|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Gestattet dir und deine Verbündeten eine schockierende Aura
aura_desc_10|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Gestattet dir und deine Verbündeten eine Manaregenerationsaura
aura_desc_13|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Gestattet dir und deine Verbündeten eine Dornenaura
aura_desc_14|Grants you an aura that increases you and your allies elemental damage, block and dodge|||||||
aura_desc_15|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Segnet dich mit Engelskraft welche dir jede Aura gestattet
aura_desc_93|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Gestattet dir und deine Verbündeten eine Manaregenerationsaura
nothing|Nothing|Ei mitään|Nothing|Nothing|Nothing|Nothing|Nothing|Nothing
||||||||
[Professions]||||||||
mining|Mining|Louhiminen|Mineração|Шахтерское Мастерство|矿业|採掘|채굴|Bergbau
herbalism|Herbalism|Yrttitaito|Herbalismo|Травничество|草药医术学|薬草学|약초학|Herbalismus
enchanting|Enchanting|Lumoaminen||||||
jewelcrafting|Jewelcrafting|Korutyötaito||||||
copper_ore|Copper Ore|Kuparimalmi|Minério de Cobre|Медная руда|铜矿石|銅鉱石|구리광석|Kupfererz
iron_ore|Iron Ore|Rautamalmi|Minério de Ferro|Железная руда|铁矿石|鉄鉱石|철광석|Eisenerz
gold_ore|Gold Ore|Kultamalmi|Minério de Ouro|Золотая руда|金矿石|金鉱石|금광석|Golderz
ruby_ore|Ruby Ore|Rubiinimalmi|Minério de Rubi|Рубиновая руда|红宝石矿石|ルビー鉱石|루비광석|Rubinerz
jade_ore|Jade Ore|Jademalmi|Minério de Jade|Нефритовая руда|玉矿|ヒスイ鉱石|옥광석|Jadeerz
tarethium_ore|Tarethium Ore|Tarethium malmi||||||
copper_node|Copper Vein|Kuparisuoni|Filão de Cobre|Залежи меди|铜静脉|銅鉱脈|구리광맥|Kupfervene
iron_node|Iron Vein|Rautasuoni|Filão de Ferro|Залежи железа|铁静脉|鉄鉱脈|철광맥|Eisenvene
gold_node|Gold Vein|Kultasuoni|Filão de Ouro|Залежи золота|金脉|金鉱脈|금광맥|Goldvene
ruby_node|Ruby Vein|Rubiinisuoni|Filão de Ruby|Залежи рубиновой руды|红宝石脉|ルビー鉱脈|루비광맥|Rubinvene
jade_node|Jade Vein|Jadesuoni|Filão de Jade|||||
tarethium_node|Tarethium Vein|Tarethium suoni||||||
ranged_resistance|Ranged Resistance|Kaukokestävä|Resistência à Distância|Сопротивление Атакам Дальнего Боя|远程攻击抵抗|遠隔攻撃を抵抗|원거리 공격 저항력|Fernkampfwiderstand
reflection|Reflection|Heijastava|Reflexão|Отражение|反射|反射|반사|Reflexion
cold_enhanced|Cold Enhanced|Jäädytetty|Frio Aprimorado|Отмороженный|寒冰增强|冷気を高める|빙결의 힘|Kaltverstärkung
electrified|Electrified|Sähköistetty|Eletrificado|Шокирующий|带电|電化|전기의 힘|Elektrifiziert
fiery|Fiery|Tulinen|Ardente|Пылкий|炽热|灼熱|화염의 힘|Feurig
juggernaut|Juggernaut|Juggernaut|Juggernaut|Неудержимый|主宰|ジャガンナート|저거노트|Juggernaut
arcana|Arcana|Arkaaninen|Arcano|Таинственный|奥秘|アルカナ|아르카나|Arkana
thunder_orbiter|Thunder Orbiter|Salamoiva|Orbita do trovão|Шаровая молния|雷电卫星|サンダー・オービター|천둥 궤도자|Donnersonde
mortar|Mortar|Mörssäri|Argamassa|Мортира|迫击炮|迫撃砲|박격|Mörser
teleporting|Teleporting|Kaukosiirtyvä|Teleportando|Телепортирующийся|传送|テレポート中|순간 이동|Teleporter
waller|Waller|Seinästäjä|Waller|Стеностав|岩石制造者|ウォーラー|벽 건설자|Maurer
punisher|Punisher|Rankaisija|Justiceiro|Каратель|惩罚者|処分者|처벌자|Bestrafer
thunderstorm|Thunderstorm|Ukkosmyrsky|Trovoada|Гром и молния|雷暴|雷雨|뇌우|Gewittersturm
pack_leader|Pack Leader|Laumanjohtaja|Líder do Grupo|Лидер группы|召唤护卫|群れのリーダー|무리 리더|Rudelführer
resume|Resume|Jatka|Resumir|Возобновить|暂停|再開|재개|Fortsetzen
restart|Restart|Aloita alusta|Reiniciar|Обновить локации|重新开始|リスタート|재시작|Neustart
save_and_exit|Save & Exit|Tallenna & lopeta|Salvar e Sair|Сохранить и выйти|保存&退出|セーブ＆終了|저장 후 종료|Speichern & Beenden
points_left|Points Left|Pisteitä jäljellä|Pontos restantes|Осталось очков|剩余点数|残りのポイント|남은 포인트|Verbleibende Punkte
minion_talents|Mercenary|Palkkasoturi|Mercenário|Наемник|雇佣兵|傭兵|용병|Söldner
att_talents|Player|Pelaaja|Jogador|Игрок|玩家|プレイヤー|플레이어|Spieler
hero_talents|Hero Level|Sankaritaso|Nível Herói|Уровень Героев|英雄等级|ヒーロー・レベル|영웅 레벨|Heldenlevel
enemies_left|Enemies left|Vihollisia jäljellä|Inimigos|врагов|敌人|敵|남은 적|Gegner verbleibend
last_page|Last Page|Edellinen sivu|Última Página|Предыдущая|最后一页|最後のページ|마지막 페이지|Letze Seite
next_page|Next Page|Seuraava sivu|Próxima Página|Следующая|下一页|次のページ|다음 페이지|Nächste Seite
key|Key|Avain|Chave|Ключ|钥匙|キー|키|Schlüssel
crystal_key|Crystal Key|Kristalliavain|Chave de cristal|Кристальный ключ|晶体的关键|クリスタルキー|크리스탈 열쇠|Kristallschlüssel
runes|Runes|Riimut|Runas|Руны|符文|ルーン|룬|Runen
assign_point|Assign point|Aseta piste|Atribuir ponto|Назначать|分配点|割り当てポイント|포인트 분배|Zuweisen
loading|LOADING|LADATAAN|CARREGANDO|ЗАГРУЗКА|读取中|ロード中|불러오는 중|LADEN
magic_potion|Magic Potion|Taikarohto|Poção mágica|Магическое зелье|魔法药剂|魔法の薬剤|마법 포션|Zaubertrank
gold|Gold|Kultaa|Ouro|Золото|金币|ゴールド|골드|Gold
crystals|Crystals|Kristallia|Cristais|Кристаллы|水晶|クリスタル|크리스탈|Kristalle
rubies|Rubies|Rubiinia|Rubis|Рубины|红宝石|ルビー|루비|Rubine
requires_key|Key needed to open|Vaatii avaimen|Chave necessária para abrir|Нужен ключ|打开所需钥匙数|開くために必要なキーの数|열려면 열쇠가 필요합니다|Schlüssel zum Öffnen erforderlich
requires_crystal_key|Crystal key needed to open|Vaatii kristalliavaimen|Chave de cristal necessária para abrir|Нужен кристальный ключ|打开所需水晶钥匙数|開くために必要なクリスタルキーの数|열러면 크리스탈 열쇠가 필요합니다|Kristallschlüssel zum Öffnen erforderlich
found_key|Found a Key!|Löysit avaimen!|Encontrei uma chave!|Найден ключ!|找到一把钥匙！|キーを見つけた！|열쇠 발견!|Ich habe einen Schlüssel gefunden!
found_crystal_key|Found a Crystal Key!|Löysit kristalliavaimen!|Encontrei uma chave de cristal!|Найден кристальный ключ!|找到一把水晶钥匙！|クリスタルキーを見つけた！|크리스탈 열쇠 발견!|Ich habe einen Kristallschlüssel gefunden!
saving_game|Saving the game...|Tallennetaan peliä...|Salvando o jogo...|Сохранение игры...|正在保存游戏...|ゲームをセーブしています...|게임을 저장하는 중입니다...|Das Spiel wird gespeichert...
you_died|You Died|Sinä kuolit|Você morreu|Вы погибли|你死了|あなたが死亡しました|죽었습니다|Du bist gestorben
death_by|Death by|Kuoleman tuotti|Morto por|Смерть от|死于|死亡の原因は|나를 죽게 한 원인|Tod durch
upgrade_wormhole|Upgrade Wormhole Level|Päivitä madonreiän taso|Atualizar o Nível Portal|Повысить уровень Червоточины|升级虫洞等级|ワームホールレベルをアップグレード|웜홀 레벨 업그레이드|Upgrade Wurmloch-Level
waiting_for_players|Waiting for players to join...|Odotetaan pelaajia...|Esperando jogadores participarem...|Ждем, пока присоединятся игроки...|正在等待玩家加入...|他のプレイヤーを待っています|다른 플레이어를 기다리는중...|Warte auf Beitritt von Spielern...
entering_wormhole|player(s) entering wormhole|pelaaja(a) menossa madonreikään|Jogador(es) entrando no wormhole|игрок(-и) заходит(-ят) в Червоточину|玩家进入传送点|プレイヤー（達）はワームホールに入っていきます|플레이어가 웜홀에 입장합니다|Spieler treten dem Wurmloch bei
entering_challenge_dungeon|player(s) entering challenge dungeon|pelaaja(a) menossa haastetyrmään|player(s) entering challenge dungeon|player(s) entering challenge dungeon|player(s) entering challenge dungeon|player(s) entering challenge dungeon|player(s) entering challenge dungeon|player(s) entering challenge dungeon
entering_chaos_tower|player(s) entering Chaos Tower|pelaaja(a) menossa kaaostorniin|player(s) entering Chaos Tower|player(s) entering Chaos Tower|player(s) entering Chaos Tower|player(s) entering Chaos Tower|player(s) entering Chaos Tower|player(s) entering Chaos Tower
monster_level|Monster Level|Vihollisten taso|Nível do Monstro|Уровень Монстров|怪物级别|モンスターレベル|몬스터 레벨|Monsterlevel
keys|Keys|Avaimet|Chaves|Ключи|按键|キー|열쇠|Schlüssel
potion_use_health|Full Health!|Täydet elämät!|Saúde Máxima!|Полное Здоровье!|恢复所有生命值！|ヘルス全回復！|체력이 전부 회복됐습니다!|Volle Lebenspunkte
lift_beachball|Lift <Beachball>|Nosta <Rantapallo>|Levantar <Bola de Praia>|Поднять <пляжный мяч>|举起<沙滩球>|＜ビーチボール＞を上げる|<비치 볼> 들기|Heben <Strandball>
lift_square_stone|Lift <Square Stone>|Nosta <Neliökivi>|Levantar <Pedra Quadrada>|Поднять <квадратный камень>|举起<方石>|＜角石＞を上げる|<네모난 돌> 들기|Heben <Quadratischer Stein>
lift_moon_stone|Lift <Moon Stone>|Nosta <Kuukivi>|Levantar <Pedra da Lua>|Поднять <лунный камень>|举起<月亮石>|＜ムーン・ストーン＞を上げる|<달 모양 돌> 들기|Heben <Mond-Stein>.
lift_round_stone|Lift <Round Stone>|Nosta <Pallokivi>|Levantar <Pedra Redonda>|Поднять <круглый камень>|举起<圆石>|＜丸石＞を上げる|<둥근 돌> 들기|Heben <Rund-Stein>
lift_triangle_stone|Lift <Triangle Stone>|Nosta <Kolmiokivi>|Levantar <Pedra Triangular>|Поднять <треугольный камень>|举起<三角石>|＜トライアングル・ストーン＞を上げる|<세모난 돌> 들기|Heben <Dreieck-Stein>
||||||||
wormhole_key|Next Wormhole|Seuraava Madonreikä|Chave do Buraco de Minhoca|Ключ Червоточины|虫洞钥匙|ワームホール・キー|웜홀 열쇠|Wurmloch-Schlüssel
found_item|Found|Löysit|Encontrado|Найден|找到|見つかった|획득|Gefunden
pick_up_item|Pick up|Nosta|Pegar|Взять|拾取|拾う|줍기|Aufheben
||||||||
satanic_dice|Satanic Dice|Saatanallinen noppa|Dado Satânico|Дьявольские Кости|邪恶的骰子|魔王のダイス|사탄의 주사위|Satanischer Würfel
reroll|Re-roll|Arvo uudelleen|Rolar novamente|Перемотать|重新滚动|リロール|다시 굴림|Reroll
reroll_token|Re-roll Token|Uusiopoletti|Token de relançar|Жетон Качества|重投令牌|リロールトークン|리롤 토큰|Reroll-Token
upgrade_token|Upgrade Token|Päivityspoletti|Atualizar Token|Жетон Улучшения|升级令牌|アップグレードトークン|업그레이드 토큰|Aufrüst-Token
offensive_token|Ability Token|Taitopoletti|Token de Habilidade|Жетон Способностей|能力令牌|アビリティトークン|능력 토큰|Fähigkeits-Token
socket_token|+1 Socket Token|+1 Paikkapoletti|+1 Socket Token|+1 Socket Token|+1 Socket Token|+1 Socket Token|+1 Socket Token|+1 Socket Token
satanic_powder|Satanic Powder|Saatanallinen pulveri|Pó Satânico|Сатанический порошок|邪恶的粉末|魔王の粉|사탄의 파우더|Satanisches Pulver
mythic_powder|Mythic Powder|Myyttinen pulveri|Pó Mítico|Мифический порошок|神话的粉末|神話の粉|신화적 파우더|Mythisches Pulver
legendary_powder|Legendary Powder|Legendaarinen pulveri|Pó Lendário|Легендарный порошок|传奇的粉末|伝説の粉|전설의 파우더|Legendäres Pulver
||||||||
damage_on_impact|damage on impact.|vahinkoa osuessaan.|dano por impacto.|урон при попадании.|撞击伤害。|衝撃によるダメージ。|충돌 시 대미지.|Schaden bei Aufprall.
achievement_unlocked|Achievement Unlocked|Saavutus avattu|Conquista Desbloqueada|Достижение Выполнено!|解锁了成就|アチーブメントがアンロックされました。|업적 잠금해제됨|Errungenschaft freigeschaltet
complete|Complete|Läpäise|Concluído|Выполнено|完成|終了|완료|Abgeschlossen
kill|Kill|Tapa|Matar|Убить|击杀|殺害|처치|Tötung
monsters_killed|monsters killed!|vihollista tapettu!|monstros mortos!|монстров убито.|杀死了怪物！|モンスターを殺害しました！|마리 몬스터 처치!|Monster getötet!
collect|Collect|Kerää|Coletar|Собрать|收集|回収|수집|Sammeln
wormhole_level|Wormhole level|Madonreiän taso|Nível de buraco de minhoca|Уровень Червоточины|虫洞关|ワームホールレベル|웜홀 레벨|Wurmloch-Level
achievement_satans_hands|Destroy Satan's both hands in less than 30 seconds!|Tuhoa Saatanan molemmat kädet alle 30 sekunnissa!|Destrua as duas mãos de Satanás em menos de 30 segundos!|Уничтожьте обе руки Сатаны меньше чем за 30 секунд!|在 30 秒内摧毁撒旦的双手！|30秒以内に悪魔の両手を破壊します！|사탄의 양손을 30초 내에 파괴!|Zerstöre beide Hände von Satan in weniger als 30 Sekunden!
achievement_all_heroes_100|Reach Level 100 with every Hero!|Saavuta taso 100 jokaisella sankarilla!|Atinja o Nível 100 com cada um dos Heróis!|Достигните 100 уровня на каждом классе.|所有英雄都达到 100 级！|すべてのヒーローでレベル100に到達します！|모든 영웅으로 레벨 100 달성!|Erreiche mit jedem Held Stufe 100!
achievement_5000_bushes|Demolish 5000 bushes!|Tuhoa 5000 puskaa!|Derrube 5.000 arbustos!|Уничтожьте 5000 кустов!|摧毁 5,000 个灌木丛！|5000個の茂みを破壊します！|덤불 5000개 파괴!|Zerstöre 5.000 Büsche!
achievement_satanic_item|Obtain a Satanic item!|Poimi Saatanallinen esine!|Obtenha um item Satânico!|Получите Сатанический предмет!|获得撒旦的物品！|悪魔のアイテムを手に入れます！|사탄 아이템 획득!|Erhalte einen satanischen Gegenstand!
achievement_4_player_play|Play a Multiplayer game with 4 players!|Pelaa moninpeliä 4 pelaajan kanssa!|Jogue no modo Multijogador com 4 jogadores!|Сыграйте в многопользовательскую игру в группе из 4 игроков!|由 4 个玩家一起玩多人游戏！|マルチプレイヤーゲームを4人でプレイします！|플레이어 4명과 함께 멀티플레이어 게임 플레이!|Spiel ein Mehrspielerspiel mit 4 Spielern!
achievement_4_player_complete|Complete the game with 4 players!|Läpäise peli 4 pelaajan kanssa!|Conclua o jogo com 4 jogadores!|Пройдите игру в группе из 4 игроков!|由 4 个玩家一同完成游戏！|4人でのゲームを終了します！|플레이어 4명과 함께 게임 완료!|Schließe das Spiel mit 4 Spielern ab!
achievement_ancient_monster|Slay an Ancient Monster!|Tapa muinainen hirviö!|Mate um Monstro Antigo!|Уничтожьте Древнего монстра!|杀死一个古老的怪物！|古代のモンスターを殺害します！|고대의 몬스터 처치!|Töte ein uraltes Monster!
achievement_coffee_club|Join <Sarcaster's Coffee Club>|Liity <Sarcasterin kahvikerho>|Participe do <Sarcaster's Coffee Club>|Присоединитесь к <Кофейному клубу Саркастера>|加入<萨卡斯特咖啡俱乐部>|<サルカスターズコーヒークラブ>に入会します。|<사르캐스터의 커피 클럽> 가입|Trete <Sarcaster's Coffee Club> bei
achievement_sheep_level|Find the Secret Sheep level!|Löydä salainen lammastaso!|Encontre o nível das Ovelhas Secretas!|Найдите секретный овечий уровень!|找到隐藏的绵羊关卡！|シークレットシープレベルを見つけてください！|비밀의 양 레벨 발견!|Finde das geheime Schaf-Level!
achievement_solve_puzzle|Solve a Puzzle|Ratkaise pulma|Resolva um Quebra-cabeça|Решите головоломку.|解决谜题|パズルを解きます|퍼즐 해결|Löse ein Rätsel
achievement_chaos_tower|Clear Chaos Tower|Läpäise kaaostorni||||||
achievement_king_rakhul|Defeat King Rakhul|Surmaa kuningas Rakhul||||||
achievement_angelic_realm|Enter Angelic Realm|Astu enkelivaltakuntaan||||||
achievement_sung_lee|Defeat Sung Lee|Surmaa Sung Lee||||||
achievement_valhalla_valkyrie|Defeat Valkyrie|Surmaa Valkyrie||||||
achievement_valhalla_river|Defeat Jörmungar|Surmaa Jörmungar||||||
achievement_valhalla_odin|Defeat Corrupted Odin|Surmaa korruptoitunut Odin||||||
achievement_valhalla_ring|Acquire ring|||||||
achievements|Achievements|Saavutukset|Conquistas|Достижения|成就|実績|업적|Erfolge
weapon_type|Weapon Type|Asetyyppi|Tipo de Arma|Оружие Тип|武器类型|武器の種類|무기 종류|Waffentyp
weapon_type_sword|Sword|Miekka||||||
weapon_type_dagger|Dagger|Tikari||||||
weapon_type_mace|Mace|Nuija||||||
weapon_type_axe|Axe|Kirves||||||
weapon_type_polearm|Polearm|||||||
weapon_type_staff|Staff|||||||
weapon_type_cane|Cane|||||||
weapon_type_spellblade|Spellblade|||||||
weapon_type_book|Book|Kirja||||||
weapon_type_wand|Wand|Sauva||||||
weapon_type_throwing|Throwing|Heitettävä||||||
weapon_type_bow|Bow|Jousi|Arco|Лук|弓|弓|활|Bogen
weapon_type_claw|Claw|Kynnet|Garra|Когти|爪|クロー|발톱|Klaue
weapon_type_gun|Gun|Ase|Arma de Fogo|Огнестрельное оружие|枪|銃|총|Gewehr
weapon_type_chainsaw|Chainsaw|Moottorisaha|Motosserra|Пила|链锯|チェーンソー|전기 톱|Kettensäge
weapon_type_flask|Flask|Pullo|Frasco|Фласка|瓶|フラスコ|플라스크|Fläschchen
weapon_type_universal|Novelty|Novelty|Novelty|Novelty|Novelty|Novelty|Novelty|Novelty
extra_damage|extra damage.|lisävahinkoa.|daño adicional.|дополнительный урон.|额外伤害。|追加ダメージ。|추가 데미지.|Extra Schaden.
enhance|Enhance|Tehosta|Mejorar|Усилить|提高|強化|높이다|Verbessern
loadout|Loadout|Varustus|Loadout|Экипировка|装车|バックパック内|장전|Slot
save_loadout|Save Loadout|Tallenna Varustus|Guardar Loadout|Сохранить|保存装车|保存バックパック内|저장로드 아웃|Speichern Ausrüstung
load_loadout|Equip Loadout|Pue Varustus|Equipo Loadout|Загрузить|装备装车|装備バックパック内|만큼로드 아웃|Ausstatten Ausrüstung
remove_loadout|Remove from loadout|Poista varustuksista|Remove from loadout|Remove from loadout|Remove from loadout|Remove from loadout|Remove from loadout|Remove from loadout
activate|Activate|Aktivoi|Activar|Активировать|启用|アクティブ|활성화|Aktivieren
attack_speed_bonus|attack speed bonus.|hyökkäysnopeutta.|atacar bonus de velocidad.|бонус Скорости Атаки.|攻速加成。|スピードボーナスを攻撃します。|속도 보너스를 공격한다.|Angriffsgeschwindigkeit Bonus.
extra_damage_on_impact|extra damage on impact.|lisävahinkoa törmätessä|daño adicional en el impacto.|дополнительный урон при попадании.|对影响额外伤害。|インパクトの追加ダメージ。|영향에 대한 추가 데미지.|zusätzlicher Schaden beim Aufprall.
increased|increased|lisätty|aumentado|увеличенный|增加|増加|증가|gestiegene
seconds_of_aggro|seconds of aggro.|sekuntia aggressiivisuutta.|segundos del agro.|секунд Провокации.|的仇恨秒。|アグロの秒。|어그로의 초.|Sekunden Aggro.
of_damage_mitigated|of damage mitigated.|vahinkoa lievenetty.|de daño mitigado.|входящего урона не получено.|损伤的缓解。|被害の軽減。|손상의 완화.|Schadensmilderung.
of_health_as_shield|of health as shield.|terveyttä kilpenä.|de la salud como escudo.|Здоровья в виде Щита.|健康作为屏蔽。|シールドとして健康の。|방패로 건강.|Lebenspunkte als Absorption.
of_damage_healed|of damage healed.|vahinkoa parannettu.|del daño sanado.|урона исцелено.|损伤的愈合。|損傷の癒さ。|손상의 치료.|des Schadens heilt.
of_damage_returned|of damage returned.|vahinkoa palautettu.|del daño devuelto.|урона отражено.|损伤的恢复。|ダメージを返さ。|손상으로 돌아왔다.|Schadensreflexion.
both|Both|Molemmat|Ambos|оба|都|どちらも|양자 모두|Beide
left|Left|Vasen|Izquierda|Лево|剩下|左|왼쪽|Links
right|Right|Oikea|Derecha|Право|对|正しい|권리|Recht
