[Effect Descriptions]|en|fi|pt|ru|zh|ja|ko|de
effect_off_desc_85|5% chance on hit that spills high damage coffee everywhere which makes the user very angry|5% mahdollisuus osumasta, joka roiskii korkeaa vahinkoa aiheuttavaa kahvia kaikkialle, mikä tekee käyttäjän hyvin vihaiseksi.|5% de chance no acerto de espirrar café de alto dano para todos os lados que deixam o usuário muito irritado|5% chance on hit that spills high damage coffee everywhere which makes the user very angry|5%的几率命中，使高伤害的咖啡洒得到处都是，这让使用者非常生气。|ヒット時に5%の確率で、高ダメージのコーヒーをどこにでもこぼし、ユーザーを激怒させる。|적중 시 5%의 확률로 높은 데미지의 커피를 사방에 쏟아 사용자를 매우 화나게 합니다.|5 % Chance bei einem Treffer, dass Kaffee mit hohem Schaden überall verschüttet wird, was den Benutzer sehr wütend macht
effect_off_desc_86|15% chance on hit to cause your target to bleed. Also bleed damage is increased for 3 seconds|15 prosentin mahdollisuus osumalla aiheuttaa kohteellesi verenvuotoa. Myös verenvuotovahinko kasvaa 3 sekunnin ajan.|15% de chance de causar sangramento em seu alvo. O dano de sangramento também é aumentado em 3 segundos.|15% chance on hit to cause your target to bleed. Also bleed damage is increased for 3 seconds|命中时有15%的几率使你的目标流血。同时流血伤害增加3秒|ヒット時に15%の確率でターゲットにブリードを与える。さらに3秒間、出血のダメージが増加する|명중 시 15%의 확률로 대상을 출혈시킵니다. 또한 3초 동안 출혈 피해가 증가합니다.|15% Chance bei einem Treffer, Ihr Ziel zum Bluten zu bringen. Außerdem wird der Blutungsschaden für 3 Sekunden erhöht
effect_off_desc_87|Launches elemental bolts that bounce between a few enemies|Laukaisee elementaalipultteja, jotka pomppivat muutaman vihollisen välillä.|Lança raios elementais que quicam entre pouco inimigos|Launches elemental bolts that bounce between a few enemies|发射元素弹，在几个敌人之间弹跳。|数人の敵の間で跳ね返るエレメンタル・ボルトを発射する。|소수의 적 사이를 튕기는 엘리멘탈 볼트를 발사합니다.|Schießt Elementarblitze ab, die zwischen einigen Gegnern hin- und herspringen
effect_off_desc_88|Your bleeding stacks have a 10% increased duration based on ability level|Verenvuodon pinoamisesi kesto kasvaa 10 % kyvykkyystason mukaan.|Seus acúmulos de sangramento tem 10% de duração baseado no nível da habilidade|Your bleeding stacks have a 10% increased duration based on ability level|根据能力等级，你的流血叠加的持续时间增加10%。|能力値に応じて、出血の持続時間が10%増加する。|출혈 스택의 지속 시간은 어빌리티 레벨에 따라 10% 증가합니다.|Ihre Blutungsstapel haben eine um 10% erhöhte Dauer basierend auf der Fähigkeitsstufe
effect_off_desc_89|Chance on hit to apply multiple debuffs to enemies|Mahdollisuus osumalla soveltaa vihollisiin useita heikentäjiä.||Chance on hit to apply multiple debuffs to enemies|命中后有机会对敌人施加多重debuff|ヒット時に確率で敵に複数のデバフをかける|적중 시 일정 확률로 적에게 여러 디버프를 적용합니다.|Chance, bei einem Treffer mehrere Schwächungszauber auf Gegner anzuwenden
effect_off_desc_90|Makes all leech instant|Tekee kaikista leech instant|Torna todo o roubo de vida/mana instantâneo|Makes all leech instant|使得所有水蛭瞬间|すべてのリーチをインスタントにする|모든 흡혈을 즉시 획득합니다.|Macht alle Blutegel sofort
effect_off_desc_91|5% chance on attack to launch an elemental bullet dealing heavy damage and piercing enemies.|5 %:n mahdollisuus laukaista hyökkäyksen yhteydessä erittäin nopea lävistävä elementtiluoti, joka aiheuttaa voimakasta vahinkoa ja lävistää vihollisia.|5% de chance no ataque de lançar uma rápida bala penetrante elemental dando dano massivo e penetrando inimigos|5% chance on attack to launch a very quick piercing elemental bullet dealing heavy damage and piercing enemies.|攻击时有5%的几率发射一个非常快速的穿透性元素子弹，造成重伤并刺穿敌人。|攻撃時に5%の確率で、非常に素早い貫通エレメント弾を発射し、敵に大ダメージを与えて貫通させる。|공격 시 5%의 확률로 매우 빠른 관통 원소 탄환을 발사하여 큰 피해를 입히고 적을 관통합니다.|5% Chance beim Angriff, ein sehr schnelles, durchdringendes Elementargeschoss abzuschießen, das schweren Schaden verursacht und Gegner durchbohrt.
effect_off_desc_92|Chance on attack to saw down a large tree to topple on top of your enemies dealing heavy damage|Sahaa iso puu kaatumaan vihollisten päälle.|Serre uma grande árvore para tombar em cima dos seus inimigos|Saw down a large tree to topple on top of your enemies|锯倒一棵大树，让它倒在你的敌人头上|大木を伐採して敵の上に乗せる|큰 나무를 아래로 톱질하여 적 위에 쓰러뜨리세요.|Sägen Sie einen großen Baum um, der auf Ihre Feinde stürzt
effect_off_desc_93|20% chance on hit that increases attack speed by 300% for 2 seconds 20 second cooldown.|20 %:n mahdollisuus lisätä hyökkäysnopeutta 300 % 2 sekunnin ajan 20 sekunnin jäähdytysaika.|20% de chance no acerto de aumentar a velocidade de ataque em 300% por 2 segundos. 20 segundos de tempo de recarga|20% chance on hit that increases attack speed by 300% for 2 seconds 20 second cooldown.|命中时有20%的几率使攻击速度提高300%，持续2秒，冷却时间20秒。|ヒット時に20%の確率で2秒間、攻撃速度が300%増加する 20秒のクールダウン|명중 시 20% 확률로 2초 동안 공격 속도 300% 증가, 재사용 대기시간 20초.|20% Chance, dass bei einem Treffer das Angriffstempo für 2 Sekunden um 300% erhöht wird, 20 Sekunden Abklingzeit.
effect_off_desc_94|Grants the Whirlwind ability based on ability roll|Antaa Whirlwind-kyvyn kyvyn heiton perusteella.|Concede a habilidade de redemoinho baseado no nível da habilidade|Grants the Whirlwind ability based on ability roll|根据能力卷赋予旋风能力|アビリティロールに応じて「Whirlwind」能力を付与する。|어빌리티 레벨에 따라 휠윈드 능력을 부여합니다.|Gewährt die Fähigkeit Wirbelwind basierend auf dem Fähigkeitswurf
effect_off_desc_95|60% chance on attack to create a narrow Shockwave and smaller ones to nearby enemies [Physical]|60 %:n mahdollisuus luoda hyökkäyksen yhteydessä kapea shokkiaalto ja pienempiä shokkiaaltoja läheisiin vihollisiin. Fyysinen.|60% chance no ataque de criar uma onda de choque estreita e outras pequenas em inimigos próximos. Baseado em dano físico|60% chance on attack to create a narrow Shockwave and smaller ones to nearby enemies. Physical based.|攻击时有60%的几率对附近的敌人产生一个狭窄的冲击波和更小的冲击波。基于物理。|攻撃時に60%の確率で狭い範囲の衝撃波を発生させ、近くの敵にも小さい衝撃波を発生させる。物理ベース。|공격 시 60% 확률로 좁은 충격파를 생성하고 주변 적에게 더 작은 충격파를 생성합니다. 물리적 기반.|60 % Chance, bei einem Angriff eine schmale Schockwelle und kleinere Schockwellen für Gegner in der Nähe zu erzeugen. Physikalisch basiert.
effect_off_desc_96|10% chance on attack to do 2 huge silver sweeping attacks|10% mahdollisuus tehdä 2 valtavaa hopeista pyyhkäisevää hyökkäystä hyökkäyksen yhteydessä.|10% de chance no ataque de fazer 2 enormes ataques de varredura de prata|10% chance on attack to do 2 huge silver sweeping attacks|攻击时有10%的机会进行2次巨大的银色横扫攻击|攻撃時に10%の確率で巨大な銀の掃射攻撃を2回行う|공격 시 10% 확률로 2회의 거대한 은색 공격을 합니다.|10% Chance, bei einem Angriff 2 riesige silberne Fegeangriffe auszuführen
effect_off_desc_97|Shoot three consecutive shots that explode on impact|Ammu kolme peräkkäistä laukausta, jotka räjähtävät osuessaan.|Dispara três tiros consecutivos que explodem no impacto|Shoot three consecutive shots that explode on impact|连续射出三枪，击中后爆炸|着弾時に爆発する3連射|적중 시 폭발하는 연속 3발을 쏘세요.|Schießen Sie drei aufeinanderfolgende Schüsse, die beim Aufprall explodieren
effect_off_desc_98|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds|Targets enemy armor which performs a quick succession of attacks applying a debuff that increases the enemy damage taken. Lasts 5 seconds
effect_off_desc_99|Summons 4 corpses every 12 seconds|Kutsuu 4 ruumista 12 sekunnin välein|Convoca 4 corpos a cada 12 segundos|Summons 4 corpses every 12 seconds|每12秒召唤4具尸体|12秒ごとに4体の死体を召喚する。|12초마다 4개의 시체를 소환합니다.|Beschwört alle 12 Sekunden 4 Leichen
effect_off_desc_100|Increases cold damage by 20% for each attack made. This lasts only 3 seconds per attack|Lisää kylmävahinkoa 20 % jokaisella tehdyllä hyökkäyksellä. Tämä kestää vain 3 sekuntia hyökkäystä kohden.|Aumenta o dano de gelo em 20% por cada ataque feito. Isso dura apenas 3 segundos por cada ataque feito.|Increases cold damage by 20% for each attack made. This lasts only 3 seconds per attack|每次攻击时增加20%的寒冷伤害。每次攻击只持续3秒|攻撃を行うたびに冷気ダメージが20％増加する。この効果は1回の攻撃につき3秒しか持続しない|공격할 때마다 냉기 피해가 20% 증가합니다. 공격당 3초만 지속됩니다.|Erhöht den Kälteschaden bei jedem Angriff um 20 %. Dies hält nur 3 Sekunden pro Angriff an
effect_off_desc_101|You gain 100% elemental damage when you are standing far away from enemies for 2 seconds|Mitä kauempana olet vihollisista, sitä enemmän elementtivahinkoa saat, jopa 100 %.|Quanto mais longe você fica dos inimigos mais dano elemental você ganha até 100%|The farther you are from enemies the more elemental damage you gain up to 100%|你离敌人越远，你获得的元素伤害越多，最高可达100%。|敵との距離が離れているほど、最大100%のエレメンタルダメージを得ることができます。|적으로부터 멀어질수록 원소 피해를 최대 100%까지 얻습니다.|Je weiter Sie von Feinden entfernt sind, desto mehr Elementarschaden erhalten Sie bis zu 100 %.
effect_off_desc_102|Chance on hit to mark the target temporarily increasing the damage the enemy takes |Mahdollisuus osumalla merkitä kohde väliaikaisesti lisäämällä vihollisen saamaa vahinkoa.|Chance no acerto de marcar o alvo temporariamente aumentando o dano que ele leva|Chance on hit to mark the target temporarily increasing the damage the enemy takes |命中后有机会标记目标，暂时增加敌人受到的伤害|命中時に確率でターゲットをマークし、敵が受けるダメージを一時的に増加させる。|적중 시 일정 확률로 대상을 표시하여 일시적으로 적이 받는 피해를 증가시킵니다.|Chance, bei einem Treffer das Ziel zu markieren, wodurch der Schaden, den der Gegner erleidet, vorübergehend erhöht wird
effect_off_desc_103|Your auto attack triggers a Pentaslash dealing 175% of your weapons damage per hit 5 times in succession|Automaattinen hyökkäyksesi laukaisee Pentaslashin, joka aiheuttaa 175 % aseesi vahingosta osumaa kohti 5 kertaa peräkkäin.|Seu ataque básico desencadeia um pentaslash dando 175% do seu dano de arma por acerto 5 vezes em sucessão|Your auto attack triggers a Pentaslash dealing 175% of your weapons damage per hit 5 times in succession|你的自动攻击会触发五雷轰顶，连续5次对你的武器造成175%的伤害。|自身のオートアタックでペンタスラッシュを発動し、1ヒットにつき自身の武器の175%のダメージを5回連続で与える。|기본 공격은 펜타슬래시를 발동시켜 적중 시 무기 피해의 175%를 연속 5회 공격합니다.|Ihr automatischer Angriff löst einen Pentaslash aus, der 5 Mal in Folge 175% Ihres Waffenschadens pro Treffer verursacht
effect_off_desc_104|Chance when taking damage to create a rotating blade around you dealing damage [Armor]|Mahdollisuus osuessa luoda pyörivä terä ympärillesi.|Chance no acerto de criar uma lâmina rotativa em volta de você|Chance on hit to create a rotating blade around you|命中后有机会在你周围形成一个旋转的刀片|ヒット時に確率で自分の周りに回転刃を出す|적중 시 주위에 회전하는 칼날이 생성됩니다.|Chance, bei einem Treffer eine rotierende Klinge um Sie herum zu erzeugen
effect_off_desc_105|Your Auto attacks have a chance to swing in a 360 radius dealing damage 800% weapon damage|Automaattisilla hyökkäyksilläsi on mahdollisuus heilahtaa 360 säteen säteellä aiheuttaen vahinkoa 120% asevahinkoa.|Seus ataques básicos tem uma chance de balançar num raio de 360 dando 120% do dano de arma|Your Auto attacks have a chance to swing in a 360 radius dealing damage 120% weapon damage|你的自动攻击有机会在360范围内挥舞，造成120%的武器伤害。|自身のオートアタックが確率で半径360度に振り回され、120%の武器ダメージを与える。|기본 공격이 일정 확률로 360 반경을 휘둘러 무기 피해의 120%에 해당하는 피해를 입힙니다.|Ihre Auto-Angriffe haben eine Chance, in einem 360-Radius zu schwingen und dabei 120% Waffenschaden zu verursachen
effect_off_desc_106|Chance on hit to gain attack speed and cause burning with every attack|Mahdollisuus saada hyökkäysnopeutta ja kyky aiheuttaa polttamista jokaisella hyökkäyksellä.|Chance no acerto de ganhar velocidade de ataque e a habilidade de causar queimaduras com cada ataque|Chance on hit to gain attack speed and the ability to cause burning with every attack|命中后有机会获得攻击速度和每次攻击造成燃烧的能力|ヒット時に確率で攻撃速度が上がり、すべての攻撃で燃焼を起こす能力を得る。|적중 시 공격 속도와 모든 공격에 화상을 입힐 수 있는 능력을 얻을 수 있습니다.|Chance, bei einem Treffer die Angriffsgeschwindigkeit zu erhöhen und die Fähigkeit, mit jedem Angriff Verbrennungen zu verursachen
effect_off_desc_107|Spawns a meteor that impacts the ground dealing damage and leaving burning flames to scorch enemies|Synnyttää meteorin, joka iskeytyy maahan aiheuttaen vahinkoa ja jättäen palavia liekkejä polttamaan vihollisia.|Gera um meteoro que impacta no chão dando dano e deixando chamas ardentes para chamuscar inimigos|Spawns a meteor that impacts the ground dealing damage and leaving burning flames to scorch enemies|产生一颗流星，撞击地面造成伤害，并留下燃烧的火焰烧伤敌人。|隕石を発生させ、地面に衝突させてダメージを与え、燃え盛る炎で敵を焦がす。|지면에 충돌하는 유성을 생성하여 피해를 입히고 적에게 불타는 화염을 남깁니다.|Erzeugt einen Meteor, der in den Boden einschlägt, Schaden verursacht und brennende Flammen hinterlässt, die Gegner verbrennen
effect_off_desc_108|25% chance on attack to apply a poison stack dealing 125% poison damage|25 %:n mahdollisuus saada myrkkypino hyökkäyksen yhteydessä.|25% de chance no ataque de aplciar um acúmulo de veneno|25% chance on attack to apply a poison stack|攻击时有25%的几率施加一个毒药堆|攻撃時に25%の確率で毒のスタックを適用する|공격 시 25% 확률로 독 스택을 적용합니다.|25% Chance, bei einem Angriff einen Giftstapel anzuwenden
effect_off_desc_109|25% chance on attack to apply both armor break and elemental break. These roll independently|25 % mahdollisuus käyttää hyökkäyksessä sekä panssarimurtoa että elementtimurtoa. Nämä rullaavat itsenäisesti|25% de chance no ataque de aplicar tanto quebra de armadura quanto quebra elemental. Os dois rolam independentemente|25% chance on attack to apply both armor break and elemental break. These roll independently|攻击时有25%的机会同时应用破甲和元素破损。这些都是独立滚动的|攻撃時に25%の確率でアーマーブレイクとエレメンタルブレイクの両方を適用する。これらは独立してロールする|공격 시 25% 확률로 아머 브레이크와 엘리멘탈 브레이크를 모두 적용합니다. 이들은 독립적으로 적용됩니다.|25 % Chance bei einem Angriff, sowohl Rüstungsbruch als auch Elementarbruch anzuwenden. Diese rollen unabhängig voneinander
effect_off_desc_110|Projectiles explode on impact|Ammukset räjähtävät osuessaan.|Os projéteis explodem no impacto|Projectiles explode on impact.|投射物在撞击时发生爆炸。|衝突すると爆発する。|발사체는 충돌 시 폭발합니다.|Projektile explodieren beim Aufprall.
effect_off_desc_111|Shoot two additional projectiles with a chance to inflict Plague on target|Ammu kaksi ylimääräistä ammusta, joilla on mahdollisuus aiheuttaa kohteeseen ruttoa.|Atire dois projéteis adicionais com uma chance de infligir Peste no alvo|Shoot two additional projectiles with a chance to inflict Plague on target.|射出两个额外的弹丸，有机会对目标造成瘟疫。|追加で2発の弾丸を撃ち、確率で対象にPlagueを与える。|2개의 추가 발사체를 발사하여 일정 확률로 대상에 역병을 가합니다.|Schießen Sie zwei zusätzliche Projektile ab, die eine Chance haben, dem Ziel die Seuche zuzufügen.
effect_off_desc_112|Chance on hit to break enemy Cold resistance|Mahdollisuus murtaa vihollisen kylmänkestävyys osumalla.|Chance no acerto de quebrar a resistência ao gelo do inimigo|Chance on hit to break enemy Cold resistance.|命中后有几率打破敌人的抗寒能力。|ヒット時に確率で敵の冷気耐性を破壊する。|적중 시 일정 확률로 적의 냉기 저항을 깨뜨립니다.|Chance, bei einem Treffer den gegnerischen Kältewiderstand zu brechen.
effect_off_desc_113|Chance on hit to break enemy Fire resistance|Mahdollisuus murtaa vihollisen tulenkestävyys osumalla.|Chance no acerto de quebrar a resistência ao fogo do inimigo.|Chance on hit to break enemy Fire resistance.|命中后有机会打破敌人的火抗。|ヒット時に確率で敵の火炎耐性を破壊する。|적중 시 일정 확률로 적의 화염 저항을 깨뜨립니다.|Chance bei einem Treffer, den gegnerischen Feuerwiderstand zu brechen.
effect_off_desc_114|Chance on hit to break enemy Lightning resistance|Mahdollisuus murtaa vihollisen salamavastus osumalla.|Chance no acerto de quebrar a resistência a raios do inimigo.|Chance on hit to break enemy Lightning resistance.|命中后有机会打破敌人的闪电抗性。|ヒット時に確率で敵の雷耐性を破壊する。|적중 시 일정 확률로 적의 번개 저항을 깨뜨립니다.|Chance, bei einem Treffer den gegnerischen Blitzwiderstand zu brechen.
effect_off_desc_115|Chance on hit to break enemy Wind resistance|Mahdollisuus murtaa vihollisen tuulenkestävyys osumalla.|Chance no acerto de quebrar a resistência a vento do inimigo.|Chance on hit to break enemy Wind resistance.|命中后有几率打破敌人的风属性抵抗。|ヒット時に確率で敵の風属性耐性を破壊する。|적중 시 일정 확률로 적의 바람 저항을 깨뜨립니다.|Chance bei einem Treffer, den gegnerischen Windwiderstand zu brechen.
effect_off_desc_116|Chance on hit to break enemy Poison resistance|Mahdollisuus murtaa vihollisen myrkkyvastarinta osumalla.|Chance no acerto de quebrar a resistência a veneno do inimigo.|Chance on hit to break enemy Poison resistance.|命中后有机会打破敌人的毒药抗性。|ヒット時に確率で敵の毒物耐性を解除する。|적중 시 일정 확률로 적의 독 저항을 깨뜨립니다.|Chance, bei einem Treffer den gegnerischen Giftwiderstand zu brechen.
effect_off_desc_117|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items|Reduces your total required set items needed to complete the set bonus by 1. This only applies to sets with 4 or more items
effect_off_desc_118|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage|Chance on hit to cause a massive lightning bolt to hit the ground in front of you dealing area damage
effect_off_desc_119|Chance upon taking damage to pull nearby enemies close to you then you release Heaven’s Judgment upon them|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment
effect_off_desc_120|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health|Chance on attack or ability cast to shoot 3 small blood shards in your facing direction. A portion of the damage done will return as health
effect_off_desc_121|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times|Runic Power chance on ability cast to increase your magic damage for 2 seconds, stacking up to 10 times
effect_off_desc_122|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage|Chance on attack & cast to hit the target causing an ice nova. Each enemy hit by this ice nova would also cast smaller ice nova that deals less damage
effect_off_desc_123|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second|Channeling your Blood Surge will now deal additional damage per second but also increase the mana cost per second
effect_off_desc_124|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed|Gain an empowered Spirit Wolf when casting Spirit Wolves. This empowered Wolf will increase your Hero & Wolves damage and movement speed
effect_off_desc_125|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds|Your mastery of Hydra’s allows you to increase your Hydra’s attack speed by 35%, damage by 30% and duration by 2 seconds
effect_off_desc_126|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock|A portion of your strength grants additional ability power. You also have a 68% chance to strike your enemies with Holy Shock
effect_off_desc_127|18% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|19% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|20% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|21% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|22% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|23% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|24% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies|25% Chance on cast to imbue you with Tarethiel’s Vision which will focus powerful beams at nearby enemies
effect_off_desc_128|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times|Your Gunner Drones now can attack the same target multiple times
effect_off_desc_129|You have phasing|You have phasing|You have phasing|You have phasing|You have phasing|You have phasing|You have phasing|You have phasing
effect_off_desc_130|Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. |Your attacks now explode in the air raining molten shrapnel into a large area. Your attacks scale from Ability Power instead of Attack Power. 
effect_off_desc_131|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.|Your attacks now launch many projectiles and deal additional Cold Damage based upon your Ability Power.
effect_off_desc_132|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!|Send a powerful wave of Grimbone's spikes forward!
effect_off_desc_133|Increases all stats by 15%|Increases all stats by 15%|Increases all stats by 15%|Increases all stats by 15%|Increases all stats by 15%|Increases all stats by 15%|Increases all stats by 15%|Increases all stats by 15%
