[npc]|en|fi|pt|ru|zh|ja|ko|de
gar_nor_1031|Are you ready to save the world? Prove your strength!|Oletko valmis pelastamaan maailman! Näytä taitosi!|Está pronto para salvar o mundo? Prove sua força!|Готов мир спасти? Докажи, что достаточно силен!|你准备好拯救世界了吗？ 证明你的力量！|世界を救う準備はできていますか？ あなたの強さを証明しましょう！|세상을 구할 준비는 되셨나? 네 힘을 증명해 봐!|Bist du bereit, die Welt zu retten? Zeig deine Stärke!
dr_tinker_dink_1020|MAGIC?! HAHA! I create magic with science! Just come back later and you'll see! Hihihaha!|TAIKUUTTA?! HAHA! Minä luon taikaa tieteellä! Tule takaisin myöhemmin niin näet! Hihihaha!|MÁGICA?! HAHA! Eu crio mágica com ciência! É só voltar mais tarde que você vai ver! Hihihaha!|КОЛДОВСТВО?! ХА-ХА! Какой я те КОЛДУН? Это наука! Ты ко мне загляни потом... я те такого покажу... ха-ха-ха-ха...|魔法？！ 哈哈！ 我用科学创造魔法！ 晚些时候再回来，你就等着瞧吧！ 嘻嘻哈哈！|魔法？！ ハハっ！ 私は科学で魔法を作るの！ 後で戻って来たらあなたに見せようぜ！ ヒヒっハハっ！|마법?! 하하! 나는 과학으로 마법을 부릴 수 있지! 나중에 다시 오면 보여주도록 하지! 히히하하!|MAGIE?! HAHA! Ich erschaffe Magie mit Wissenschaft! Kommen Sie einfach später wieder und Sie werden sehen! Hihihaha!
dr_tinker_dink_1022|Magister Kujala is wrong! This is no magic act. I believe creatures of the forest just need some... Shock therapy hihihahahohoo!|Velho Kujala on väärässä! Tämä ei ole taikuutta. Minusta metsän olennot tarvitsevat vain hieman... Shokkiterapiaa hihihahahohoo!|O Mestre Kujala está enganado! Isto não é um número de mágica. Eu acredito que as criaturas da floresta só precisam de uma... Terapia de choque hihihahahohoo!|Чародей Куджала неправ! Магия тут ни при чем. Просто, новым обитателям леса нужно немного... шок-терапии... ха-ха-ха-ха!|库亚拉大师错了! 这不是魔术表演。 我相信森林里的生物只需要一些。。。 休克疗法嘻嘻哈哈吼吼！|マギステル ・ クジャラは間違っています！ これは魔法の出来事ではありません。 私の考えでは森の生き物たちが必要とするのは。。。 ちょっとしたショック ・ セラピーです！ ヒヒっハハっホホ〜！|술라 쿠잘라는 틀렸다고! 이건 마법 같은 게 아니야. 숲속 놈들에겐... 충격 요법이 딱이지 히히하하호후!|Magister Kujala irrt sich! Das ist kein Zaubertrick. Ich glaube, die Kreaturen des Waldes brauchen nur ein paar... Schocktherapie hihihahahahohoo!
um_1020|Naked eye can't see everything. Sadly, I've seen too much. Are you ready to see our future?|Paljas silmä ei näe kaikkea. Minä sen sijaan olen nähnyt liikaa. Oletko valmis näkemään tulevaisuuteen?|O olho nu não pode ver tudo. infelizmente, eu vi demais. Você está pronto para ver nosso futuro?|Многое ускользает от простого глаза. Очистивший разум свой да тело свое узреть может суть естества. Я видел всё, видел больше, чем хотел... Ты готов ко встрече со своим будущим?|肉眼不能看到一切。 遗憾的是, 我看到的太多了。 你准备好看看我们的未来了吗？|肉眼ではすべてを見ることはできません。 残念ながら、 私はあまりにも多くを見てきました。 あなたは私たちの未来を見る準備ができていますか？|육안으로는 모든 것을 볼 수가 없다네. 하지만, 난 그 모든 것을 볼 수 있지. 우리의 미래를 볼 준비가 되었나?|Mit bloßem Auge kann man nicht alles sehen. Traurigerweise habe ich zu viel gesehen. Bist du bereit, unsere Zukunft zu sehen?
um_1027|Some of the citizens were captured. Help them to get out of there!|Siviilejä on jäänyt vangiksi. Sinun täytyy auttaa heitä!|Alguns cidadãos foram capturados. Ajude-os a escapar!|Спаси жителей деревни. Выведи их в безопасное место.|一些平民被抓获了。 帮助他们离开那里！|一部の市民が捕えられました。 彼らの脱出を手伝ってください！|몇몇 마을 사람들이 포로로 잡히고 말았다네. 그들이 탈출할 수 있도록 도와주게!|Einige der Bürger wurden gefangen genommen. Helfen Sie ihnen, da rauszukommen!
torstein_1020|Hey there! I can buy excess items off you or help you with crafting new gear.|||||||
torstein_1024|You look like you can handle yourself. Would you mind thinning out some demons out of town? There's a reward in for you.|||||||
torstein_1024_end|Did you give those monsters what they deserve?|||||||
wormhole_in_progress|A Wormhole is currently in progress.|Madonreikä on juuri nyt käynnissä.|Um Wormhole está em progresso atualmente.|Червоточина активна.|传送点正在生成。|ワームホールが進行中です。|현재 웜홀은.|Ein Wurmloch ist derzeit im Gang.
challenge_dungeon_in_progress|A Challenge Dungeon is currently in progress.|Haastetyrmä on juuri nyt käynnissä.|A Challenge Dungeon is currently in progress.|A Challenge Dungeon is currently in progress.|A Challenge Dungeon is currently in progress.|A Challenge Dungeon is currently in progress.|A Challenge Dungeon is currently in progress.|A Challenge Dungeon is currently in progress.
||||||||
halloween_event_1|Oooooh what a headache... I'm never having that much pumpkin ale again. Hey, where am I? Who are you? I can't feel my legs... I can't feel any of my body parts! But I can feel that friendly maggot in my eye socket. Hey you, my minion! Go fetch rest of... Well, me.|Oooooh mikä päänsärky... En enää koskaan juo kurpitsaolutta. Hei, missä minä olen? Kuka sinä olet? En tunne jalkojani... En tunne mitään ruumiinosaani! Mutta tunnen tämän ystävällisen toukan silmäkuopassani. Hei sinä, kätyrini! Käy hakemassa... loput minusta.|Que dor de cabeça... nunca mais vou tomar tanta cerveja de abóbora. Ei, onde eu estou? Quem é Você? Não sinto minhas pernas... Não sinto nenhuma parte do meu corpo! Mas posso sentir essa larva amigável no meu olho. Ei você, meu servo! Vá buscar o resto de... eu.|Оооой... Бошка раскалывается... Никогда больше к тыквенной настойке не притронусь... Где эт я? А ты кто? Кажется, я ног не чувствую... и ваще всё тело... Во!...  В глазнице червячок! Червячок-червячок, заклинаю тебя, службу сослужи, ты мне принеси... эм... чо там осталось от меня...|真是让人头疼... 我永远不会再有那么多的南瓜爱尔啤酒。 嘿， 我在哪里？ 你是谁？ 我感觉不到我的腿... 我感觉不到我 的任何身体部位！ 但我能感觉到我的 眼圈 是友好的蛆。 嘿， 你， 我的小乖乖！ 拿来的... 好吧我休息。|どのような頭痛... 私は再びそのくらいの カボチャのエールを持 つことはありませんよ。 ねえ、 私はどこですか？ あなたは誰？ 私は私の足を感じることができない。。。 私は私の体の部分のいずれかを感じることができません！ しかし、 私は私の 眼窩 でその優しいうじ虫を感じることができます。 ねえ、 私の手先！の... まあ、 私残りをフェッチ行きます。|무엇 두통... 나는 다시는 그 많은 호박 에일이없는거야. 이봐, 나는 어디로? 당신은 누구인가? 내 다리에 감각이 없습니다... 나는 내 신체 부위 중 하나를 느낄 수 없습니다! 하지만 내 눈구멍 에서 해당 친화적 인 구더기를 느낄 수 있습니다. 이봐, 내 미니언! 의... 그럼 내가 나머지를 가져 간다.|Was Kopfschmerzen... habe ich nie wieder so viel Kürbis ale. Hey, wo bin ich? Wer bist du? Ich kann meine Beine nicht mehr fühlen... ich keine meiner Körperteile fühlen! Aber ich kann diese freundliche Made in meinem augenhöhle fühlen. Hey du, mein Günstling! Go holen Rest... Nun mich.
halloween_event_2|What took you so long?! Considering how slow you were, you are going to need that backbone much more than I do. BWAHAAHAHHA! No please, don't take it back...|Mikä kesti?! Ottaen huomioon kuinka hidas olet, tulet tarvitsemaan selkärankaa enemmän kuin minä. BWAHAAHAHHA! Se oli vitsi, älä vie sitä takaisin...|Por que demorou tanto?! Considerando o quão lento você foi, você precisará dessa espinha dorsal muito mais do que eu. HAHAHA! Não, por favor, não leve de volta...|А чо так долго? Кто тут у нас без позвоночника, я или ты ? Оставь его себе, те нужнее... ой стой, стой! Я пошутил. Дай сюда!|你怎么这么久？！ 考虑到您的速度有多慢， 您将比我需要更多的骨干。 哈哈哈！ 不， 请不要拿回去...|なんでそんな遅かったの？！ あなたがどれほど遅かったかを考えると、 あなたは私よりもはるかにそのバック ボーンを必要とするでしょう。 ははは！ いいえ、 取り戻さないでください...|왜 그렇게 늦었 어?! 당신이 얼마나 느리다는 것을 고려할 때, 당신은 내가하는 것보다 훨씬 더 그 골격이 필요할 것입니다. 하하하! 아니, 제발 가져 가지 마|Was hast du so lange gebraucht?! Wenn man bedenkt, wie langsam Sie waren, werden Sie dieses Rückgrat viel mehr brauchen als ich. HAHAHA! Nein bitte, nimm es nicht zurück...
halloween_event_3|Aah, my right hand and my pelvis. Can you name more dynamic duo? Peanut and butter you say? Well I guess you are right... Get back in there, I'm only half a skeleton! Or half-a-ton BWAHAhahaa... Oh nevermind...|Aah, oikea käteni ja lantioni. Pystytkö nimeämään dynaamisemman duon? Maapähkinä ja voi? Noh, olet kait oikeassa... Takaisin töihin, olen vasta puolikas luuranko! Tai puoli-ranko BWAHAhahaa... Äh, unohda koko vitsi...|Aah, minha mão direita e minha pélvis. Você pode nomear uma dupla mais dinâmica? Amendoim e manteiga, você diz? Bem, acho que você está certo... Volte ao trabalho, sou apenas meio esqueleto!|Опа! Моя правая рука и тазовая кость! Отличный набор!... Лучше нету пары!... Чо говоришь? Ключик и замочек? Ну да, пожалуй. Чо стоишь? А ну давай за работу! Найди мне...  вторую половинку! АХА-ХА-ХА-ХА-ХА|我的右手和骨盆。 你能说出更有活力的二人吗？ 你说花生酱吗？ 好吧， 我想你是对的... 回到工作， 我只是骷髅的一半！|右手と骨盤。 よりダイナミックなデュオ を指名できますか？ ピーナッツとバターと言いますか？ ええと、 あなたが正しいと思います... 仕事に戻ってください、 私はスケルトンの半分です！|오른손과 골반. 더 역동적 인 듀오 이름을 지정할 수 있습니까? 땅콩과 버터라고? 글쎄, 네 말이 맞아... 일하러 가라, 나는 단지 반 해골이야!|Meine rechte Hand und mein Becken. Können Sie ein dynamischeres Duo nennen? Erdnuss und Butter, sagst du? Nun, ich denke du hast recht... Mach dich wieder an die Arbeit, ich bin nur ein halbes Skelett!
halloween_event_4|Finally, I have both of my arms! And since you are such a slacker, I might just lift myself off this pole and run to freedom! Uhm... crawl to freedom. Oh, who am I kidding. Handsome guy like me is nothing with out his beautiful legs!|Vihdoin, minulla on molemmat kädet! Ja, koska sinä olet laiskimus, minä voisin yhtä hyvin nostaa itseni tästä tangosta ja juosta vapauteen! Ööh... ryömiä vapauteen. Äh, ketä minä huijaan? Komea kaveri, kuten minä, ei ole mitään ilman komeita jalkojaan!|Finalmente, eu tenho meus dois braços! E já que você é tão preguiçosa, eu poderia me levantar desse poste e correr para a liberdade! Umm... rasteje para a liberdade. Oh, quem eu estou brincando? Cara bonito como eu não é nada sem as pernas bonitas!|Ну наконец-то! Обе руки! Раз ты такой лентяй, я лучше уж прям щас слезу с этого шеста и сбегу на свободу... ну, скорее, уползу на свободу... Да кого я обманываю?! Как такой КРАСАВЕЦ как я может обойтись без ног?|终于， 我有了双臂！ 而且由于您是如此的懒惰， 我可能会把自己从这极点上抬起来， 走向自由！ 嗯... 爬行到自由。 哦， 我在开玩笑。 像我这样的帅哥没什么漂亮的腿！|最後に、私は両腕を持っています！ そして、 あなたはそんなにたるんでいるので、 私はこの棒から自分 を持ち上げて自由に 走るかもしれません！ うーん... 自由に這う。 ああ、 冗談だよ。 私のようなハンサム な男は彼の美脚なし では何もありません！|마침내 나는 두 팔을 가지고있다! 그리고 당신이 너무 느슨하기 때문에, 나는이 기둥에서 벗어나 자신을 자유롭게 달릴 수 있습니다! 음... 자유로 기어가 내가 농담하는 사람 나와 같은 잘 생긴 남자는 그의 아름다운 다리가 아무것도 아닙니다!|Endlich habe ich beide Arme! Und da du so ein Faulpelz bist, könnte ich mich einfach von dieser Stange heben und in die Freiheit rennen! Ähm... krieche in die Freiheit. Oh, wen scherze ich? Ein hübscher Kerl wie ich ist nichts ohne seine schönen Beine!
halloween_event_5|Are you ready for a race? Let's see who is first to get outside of the town using only one leg. You think that I'm going to escape? No, of course not! I promise I'll hang myself back to this lovely pole after the race. Oh, screw you! Go fetch my other leg, you fleshy scumbag!|Oletko valmis kisaan? Katotaan kumpi ehtii ensimmäisenä kaupungin ulkopuolelle yhdellä jalalla. Kuvittelet, että yritän pakoon? En tietenkään! Lupaan, että laitan itseni roikkumaan tähän tankoon kisan jälkeen. Haista huilu! Mene hakemaan toinen jalkani, senkin lihallinen lurjus.|Você está pronto para uma corrida? Vamos ver quem é o primeiro a sair da cidade usando apenas uma perna. Você acha que eu vou escapar? Não, claro que não! Eu prometo que vou me pendurar de volta a este lindo poste depois da corrida. Oh, que se dane! Vá buscar minha outra perna, seu desgraçado!|Ну чо? Давай кто первый до ворот токо на одной ноге? А чо? Думаешь я сбежать пытаюсь? Та неее... Вот прям до ворот... и обратно на шест залезу, слово даю!... Ой да иди ты на хрен! Вторую ногу мне неси, кожаный ублюдок!|你准备好参加比赛了吗？ 让我们看看谁最先 用一只脚走出城镇。 你以为我要逃脱？ 不， 当然不！ 我保证比赛后我会 把自己吊回到这 个可爱的杆子上。 哦， 搞砸了！ 去拿我的另一只腿， 你这个肉烂的卑鄙小人！|レースの準備はできていますか？ 片足だけで最初に 町の外に出るのは誰 かを見てみましょう。 あなたは私が逃げるつ もりだと思いますか？ いいえ、 もちろん違います！ レースが終わったら、 この素敵なポール にぶら下がるこ とを約束します。 ああ、 あなたを台無しに！ 私のもう片方の足を取 りに行ってください、 あなたは肉質の土嚢です！|경주 준비가 되셨습니까? 한쪽 다리 만 사용하여 누가 먼저 도시 밖으로 나가는 지 봅시다. 내가 탈출 할 것 같아? 물론 아닙니다! 경기가 끝나고이 멋진 장대에 몸을 맡기겠다고 약속드립니다. 오, 망쳐! 내 다른 다리를 가져 가라, 다육 쓰레기.|Bist du bereit für ein Rennen? Mal sehen, wer als erster mit nur einem Bein aus der Stadt kommt. Glaubst du, ich werde fliehen? Nein natürlich nicht! Ich verspreche, dass ich mich nach dem Rennen wieder an diese schöne Stange hängen werde. Oh, scheiß auf dich! Hol mein anderes Bein, du fleischiger Drecksack!
halloween_event_6|I've got to say, you impress me with your dedication. For all your troubles, I'm going to give you this hat. Some dude named Herry Patter gave it to me at the Halloween party and I can't stand it. It just keeps talking and talking about school stuff. So now, how about letting me down so I can go sleep this headache away? What do you mean I'm a Halloween decoration?! When I get down from here, I sure have a bone to pick with you #!%@&!|Täytyy sanoa, olen vaikuttunut sinun omistautumisestasi. Kaikesta vaivasta, annan sinulle tämän hatun. Joku tyyppi nimeltä Herry Patter antoi sen Halloween-juhlissa ja en voi sietää sitä. Se vain puhuu ja puhuu kouluasioista. Miten olisi, jos päästäisit minut alas, jotta voin mennä nukkumaan tämän päänsäryn pois? Mitä tarkoitat, että olen Halloween-koriste? Kun pääsen alas tästä, minulla on varmasti kana kynittävänä kanssasi, senkin #!%@&!|Eu tenho que dizer, você me impressiona com sua dedicação. Por todos os seus problemas, eu vou lhe dar esse chapéu. Um cara chamado Herry Patter me deu na festa de Halloween e eu não aguento mais. Ele continua falando e falando sobre coisas da escola. Então agora, que tal me decepcionar para que eu possa dormir com essa dor de cabeça? Como assim, eu sou uma decoração de Halloween ?! Quando eu desço daqui, eu tenho certeza que tenho um osso para escolher com você!|Честно говоря, твое усердие меня впечатлило. В благодарность подарю-ка тебе вот эту шляпу... на Хэллоуинской вечеринке дал какой-то паренек, имя у него еще странное... Гарри Потный... Она трещит и треплется не переставая... Забирай-ка ее себе!... Слушай, может ты меня снимешь?.. Чо? Охренеть, какая я тебе декорация хэллоуинская? А ну иди сюда! Увидишь, как с шеста слезу... так те наподдам! А ну, куда! #!%@&... #!%@&!|我必须说， 您的奉献给我留 下了深刻的印象。 不管您有什么麻烦， 我都会给您 戴上这顶帽子。 在万圣节派对上， 一个巫师把它给了我， 我受不了了。 它只是一直在谈论 和谈论学校的东西。 那么， 现在， 让我失望， 让我可以入睡了， 这又如何呢？ 你是什么意思， 我是万圣节装饰？！ 当我从这里下来时， 我肯定有骨头可 以和您一起接住！|私は言わざるを得ません、 あなたはあな たの献身で私 を感心させます。 すべてのあなた の悩みのために、 私はあなたにこ の帽子をあげます。 ハロウィンパーテ ィーでウィザード がくれたので、 我慢できません。 それはただ話したり、 学校のことにつ いて話し続けた りするだけです。 では、 この頭痛の種を離 れて眠れるように、 私を失望させ てみませんか。 私がハロウィーンの飾 りだとはどういう意味ですか？！ ここから降りると、 きっとあなたと一緒 に選ぶ骨があります！|나는 당신의 헌신에 감동합니다. 당신의 모든 문제에 대해, 나는 당신에게이 모자를 줄 것입니다. 일부 마법사는 할로윈 파티에서 나에게 그것을 주었고 나는 그것을 참을 수 없다. 계속해서 학교 물건에 대해 이야기하고 이야기합니다. 이제 두통을 풀어줄 수 있도록 날 실망시키는 것은 어떻습니까? 내가 할로윈 장식이란 무엇을 의미합니까?! 여기에서 내려 오면 뼈를 골라야합니다!|Ich muss sagen, Sie beeindrucken mich mit Ihrem Engagement. Trotz all deiner Probleme werde ich dir diesen Hut geben. Ein Typ namens Herry Patter hat es mir auf der Halloween-Party gegeben und ich kann es nicht ertragen. Es redet einfach weiter und redet über Schulsachen. Wie wäre es nun, mich im Stich zu lassen, damit ich diese Kopfschmerzen wegschlafen kann? Was meinst du, ich bin eine Halloween-Dekoration?! Wenn ich von hier runterkomme, habe ich sicher einen Knochen bei dir!
||||||||
halloween_line_1|Hey, thanks for letting me hang over here. And since I'm a nice skeleton, I wish you would be hanging here instead. This is so much fun...|Hei, kiitos, kun annat minun roikkua tässä. Koska olen niin mukava luuranko, toivon, että sinä roikkuisit tässä puolestani. Tämä on niin hauskaa...|Ei, obrigado por me deixar ficar aqui. E como sou um bom esqueleto, gostaria que você estivesse aqui. Isso é tão divertido...|Эй, благодарю что позволил мне тут повисеть. По доброте душевной, могу тебе это место уступить. Отсюда открывается отличный вид.|嘿， 谢谢你让我在这里闲逛。 而且由于我是 一个很好的骨架， 我希望您能挂在这里。 这太有意思了...|こんにちは、 私をここにぶら下げさ せてくれてありがとう。 そして、 私はいいスケ ルトンなので、 代わりにここにぶら下 がっていればいいのに。 これはとても楽しいです...|이봐, 내가 여기 매달아 줘서 고마워 그리고 나는 훌륭한 골격이기 때문에 대신 여기에 매달려 있기를 바랍니다. 너무 재미 있어요...|Hey, danke, dass ich hier rumhängen durfte. Und da ich ein schönes Skelett bin, wünschte ich, Sie würden stattdessen hier hängen. Das macht so viel Spaß...
halloween_line_2|Sometimes you have to create your own entertainment. You should have seen Dr. Tinker Dink's face when he walked past me and I scared him! His goggles flew across the town BWAHAHAHA!|Joskus pitää luoda omaa viihdettä. Olisitpa nähnyt Tinker Dinkin naaman, kun hän käveli ohitseni ja pelästytin hänet! Hänen suojalasit lensi kaupungin poikki. BWAHAHAHA!|Às vezes você tem que criar seu próprio entretenimento. Você deveria ter visto o rosto do Dr. Tinker Dink quando ele passou por mim e eu o assustei! Seus óculos voaram pela cidade HAHAHA!|Иногда себя нужно развлекать самому. Док Тинкердинк мимо проходил... а я его как шугану! Та он подскочил, шо аж тапочки слетели! Видел(а) б ты его рожу!|有时您必须创建 自己的娱乐方式。 您应该已经看 过丁克·丁克 （Tinker Dink） 博士走过我的脸， 而我吓到了他！ 他的护目镜飞过哈哈哈镇！|時々、 あなた自身の娯 楽を作成しなけ ればなりません。 ティンカーディン ク博士が私を通 り過ぎて私を 怖がらせたと きの顔を見て いたはずです！ 彼のゴーグル は町ハハハを 飛び越えました！|때로는 자신 만의 엔터테인먼트를 만들어야합니다. 그가 나를 지나서 걸었을 때 팅커 닥크 박사의 얼굴을 보았을 것입니다. 그의 고글이 마을을 가로 질러 날아 갔다. 하하하!|Manchmal müssen Sie Ihre eigene Unterhaltung erstellen. Sie hätten Dr. Tinker Dinks Gesicht sehen sollen, als er an mir vorbei ging und ich ihn erschreckte! Seine Brille flog durch die Stadt. Hahaha!
halloween_line_3|That monk is one selfish bastard. Are you listening to that guy? Just repeating his name over and over for a long period of time. I hate people who are full of themselves.|Tuo munkki on itsekäs paskiainen. Oletko kuuneellut sitä kaveria yhtään? Vain toistaa nimeään jatkuvasti pitkän aikaa. Vihaan ihmisiä, jotka ovat täynnä itseään.|Esse monge é um bastardo egoísta. Você está ouvindo esse cara? Apenas repetindo seu nome repetidamente por um longo período de tempo. Eu odeio pessoas que são cheias de si mesmas.|Этот монах слишком самовлюбленный. Сидит часами, имя свое мычит... ум... ум... А ты слушаешь его бредни?... Не нравится он мне...|那个和尚是 一个自私的混蛋。 你在听那个家伙吗？ 只是一遍又一遍 地重复他的名字。 我讨厌充满自己的人。|その僧は利己的 な野郎の一人です。 あの人の話を聞 いていますか？ 長い間何度も 何度も彼の名前 を繰り返します。 自分でいっぱ いの人は嫌いです。|그 스님은 이기적인 자식입니다. 당신은 그 사람의 말을 듣고 있습니까? 오랫동안 그의 이름을 계속해서 반복합니다. 나는 자신으로 가득 찬 사람들이 싫어.|Dieser Mönch ist ein egoistischer Bastard. Hörst du diesem Kerl zu? Ich wiederholte nur seinen Namen für eine lange Zeit immer und immer wieder. Ich hasse Menschen, die voll von sich sind.
halloween_line_4|Landlord Kukkonen is talking something about 'I have a dream'. But I've seen him drink that moonshine people have been collecting for him. Maybe that's his dream?|Maanomistaja Kukkonen puhui jotain 'unelmastaan'. Mutta olen vain nähnyt hänet juomassa pontikkaa, jota porukka kerää hänelle. Ehkä se on hänen unelma?|O senhorio Kukkonen está falando algo sobre 'Eu tenho um sonho'. Mas eu o vi beber aquele luar que as pessoas colecionavam para ele. Talvez esse seja o sonho dele?|Мэр Кукконен постоянно говорит о каких-то великих планах... Видел я, как он пьет всё бухло, что ему люди приносят, вливает как не в себя. Может, нажраться - это весь его план и есть?|房东库克宁在谈论 “我有一个梦想”。 但是我看过他 喝着人们一直在 为他收集的月光。 也许那是他的梦想？|家主クッコネンは 「私は夢を持っている」 について話しています。 しかし、 私は彼が月明 かりの人々が 彼のために収集 していること を飲んでいる のを見ました。 多分それは 彼の夢ですか？|임대인 쿡코넨 '나는 꿈이있다'에 대해 이야기하고 있습니다. 그러나 나는 그가 달빛 사람들이 그를 위해 모으고 있다는 것을 마셨다. 아마 그게 꿈 일까?|"Vermieter Kukkonen spricht etwas über ""Ich habe einen Traum"". Aber ich habe ihn trinken sehen, dass Mondscheinleute für ihn gesammelt haben. Vielleicht ist das sein Traum?"
halloween_line_5|You know what's really annoying? People who snore! And even more annoying is when Gar Nor is yelling while he is asleep. He yelled something about 'Don't go over there!'|Tiedätkö mikä on todella ärsytävää? Ihmiset, jotka kuorsaa! Ja vielä ärsyttävämpää on kun Gar Nor huutaa unissaan. Hän huusi jotain siitä, että 'Älä mene sinne!'|Você sabe o que é realmente irritante? Pessoas que roncam! E ainda mais irritante é quando Gar Nor está gritando enquanto está dormindo. Ele gritou algo sobre 'Não vá lá!'|Знаешь, что меня бесит? Храп! А Гар Нор еще и кричит во сне! Всё время выкрикивает что-то вроде Не входи туда!...|你知道什么真的很烦吗？ 打，的人！ 更令人讨厌的是， 当 Gar Nor 在睡觉时大喊大叫时。 他大喊 “不要到那边去！”|あなたは本当 に厄介なことを 知っていますか？ いびきをかく人！ さらに、 Gar Nor が眠っている間 に大声で叫ぶと、 さらにいらいらします。 彼は 「あそこに行かないで！」|정말로 성가신 것을 알고 있습니까? 코 사람들! 가노 르가 잠든 동안 고함을 지르는 것은 더욱 성가신 일입니다. 그는 '저기 가지마!'에 대해 소리 쳤다.|"Weißt du was wirklich nervt? Menschen, die schnarchen! Und noch ärgerlicher ist es, wenn Gar Nor im Schlaf schreit. Er schrie etwas über ""Geh nicht rüber!"""
halloween_line_6|Sarcaster thinks he is soooo funny. He offered me coffee. Said it's gonna make me happy and give me some energy. Sure, skeleton hanging like a ragdoll needs energy. What an ass...|Sarcaster kuvittlee olevansa hauska. Hän tarjosi minulle kahvia. Sanoi, että se tekee minusta iloisen ja antaa energiaa. Toki, räsynuken tavoin roikkuva luuranko tarvitsee energiaa. Mikä aasi...|Sarcaster acha que ele é tão engraçado. Ele me ofereceu café. Disse que vai me fazer feliz e me dar um pouco de energia. Claro, o esqueleto pendurado como uma boneca de pano precisa de energia. Que burro...|Саркастер считает, что у него хорошее чувство юмора. Предложил мне выпить чашечку кофе! Говорит, кофе мне поднимет настроение и наполнит энергией. Энергией! Скелета! Скелета, беспомощно висящего на шесте! Энергией наполнит!... М#%& кожаный...|萨卡斯特认为他很有趣。 他给我喝咖啡。 说这会让我开心， 给我一些能量。 当然， 像布娃娃一样悬 挂骨骼需要能量。 真是毛驴...|サルスターは彼 がとても面白い と思っています。 彼は私にコーヒ ーを提供した。 それは私を幸せにし、 私にエネル ギーを与えるつ もりだと言った。 確かに、 ラグドールのようにぶ ら下がってい るスケルトン にはエネルギ ーが必要です。 なんてロバ...|사캐스터라고 자신이 너무 재밌다고 생각합니다. 그는 나에게 커피를 제공했다. 그것이 나를 행복하게하고 에너지를 줄 것이라고 말했다. 물론, 래그 돌처럼 매달린 골격에는 에너지가 필요합니다. 무슨 당나귀...|Sarcaster findet ihn so lustig. Er bot mir Kaffee an. Sagte, es wird mich glücklich machen und mir etwas Energie geben. Sicher, ein Skelett, das wie eine Stoffpuppe hängt, braucht Energie. Was für ein Esel...
halloween_line_7|Magister Kujala thinks I'm some sort of lab rat. He tried some abrakadabra stuff on me but everything failed. He should practice that hocus-pocus a bit more.|Velho Kujala kuvittelee, että olen jonkinlainen koe-eläin. Hän koetti jotain abrakadabra-juttuja minuun, mutta ne kaikki epäonnistuivat. Hänen pitäisi harjoitella hokkuspokkusta enemmän.|Mestre Kujala acha que eu sou uma espécie de rato de laboratório. Ele tentou algumas coisas de abrakadabra em mim, mas tudo falhou. Ele deveria praticar esse hocus-pocus um pouco mais.|Чародей Куджала думает, что я его лабораторная крыса. Колдунство на меня свое бормочет: Сяськи-масяськи, халяй-мухаляй... Да толку ноль.|魔导师库贾拉 （Magister Kujala） 认为我是某种实验老鼠。 他在我身上尝 试了一些魔术， 但一切都失败了。 他应该多练习一点。|マジスター・ク ジャラは私を ある種の実験 用ネズミだと 思っています。 彼は私にいくつ かのアブラカダ ブラのものを試 してみましたが、 すべてが失敗しました。 彼はそのホ ーカスポーカス をもう少し練 習すべきです。|술라 쿠잘라는 내가 일종의 실험용 쥐라고 생각합니다. 그는 나에게 마술을 시도했지만 모든 것이 실패했습니다. 그는 호 커스-포커스를 조금 더 연습해야합니다.|Magister Kujala hält mich für eine Art Laborratte. Er hat ein paar magische Sachen an mir ausprobiert, aber alles ist fehlgeschlagen. Er sollte diesen Hokuspokus etwas mehr üben.
